RA,DEC,DELTA_3MPC
107.553265,-25.779063,3.5422
199.815223,1.10633,-0.0997
120.273789,44.693496,-0.329
97.936268,73.59286,0.5248
165.613495,16.975829,3.4241
65.348319,-49.344954,-0.1033
190.665087,-36.825696,-0.7382
254.410532,73.01749,-0.8923
207.106183,-52.2653,-0.0824
33.519359,-72.913267,-0.819
303.987101,75.808934,0.8421
62.992021,-85.200339,1.7581
275.33232,44.803294,0.2213
129.80344,-63.790927,-0.4342
281.794085,29.946904,0.2725
74.258245,-56.441266,-0.3725
67.198357,71.48688,-0.5566
178.929305,-81.023969,-0.641
11.856965,-35.190864,-0.3023
81.107042,50.946454,-0.3796
260.644411,12.117,1.7018
301.458052,-14.062629,0.2085
29.082731,-11.60323,-0.8759
317.547975,0.417165,0.1071
287.106193,89.077357,-0.3183
313.086346,31.256976,-0.1441
251.43428,-2.329164,-0.5474
242.695104,-32.067026,-0.3634
189.033564,0.684607,3.3986
235.003401,76.070861,-0.607
330.879479,-50.585015,-0.716
36.187921,-27.813729,-0.7369
113.675212,-78.300734,-0.8306
26.08379,23.261534,0.2547
340.129862,48.063065,1.4958
160.295568,23.764685,-0.7015
243.124009,56.130424,0.151
302.803223,48.734737,1.1116
356.760089,85.043863,-0.2017
58.241685,-8.560786,-0.3782
287.824538,-74.867342,-0.7238
319.472243,6.371394,0.2818
17.595136,48.782173,-0.5428
271.472602,-16.748544,0.2497
127.701116,-9.138168,-0.6716
233.494845,42.724409,-0.1036
185.057351,-86.968731,1.2439
93.507211,28.310641,0.0839
48.67969,37.297779,-0.7173
42.101004,84.720578,-0.837
37.196229,41.390713,-0.3392
229.604414,-66.440288,2.2099
126.507907,-0.305458,0.5684
77.988038,-16.929815,5.5123
249.078633,-17.832326,15.2661
247.265844,51.316294,-0.4618
194.100585,14.598719,0.2995
336.584814,41.557403,-0.3958
138.749123,44.243435,-0.684
300.91067,33.900737,0.0314
27.050187,46.398674,-0.1762
266.339194,-50.659104,-0.4268
355.841069,-72.231811,-0.6021
304.775358,-60.973448,-0.2855
208.679299,55.575237,-0.609
225.635783,82.091385,-0.4852
127.184238,78.629013,-0.8385
244.614679,-87.689449,-0.7706
277.342338,89.11287,-0.6816
359.362253,69.575398,-0.228
177.28665,-54.207098,-0.3314
22.069464,10.332317,-0.7013
214.508862,87.230032,-0.6671
42.848694,-5.221212,-0.2199
88.115416,81.619539,-0.6578
118.360768,7.886149,-0.8068
263.170754,-28.014618,0.3758
66.170925,-61.104733,-0.8817
59.671061,-71.266367,-0.8257
16.187127,37.203423,1.3302
314.366377,-31.035999,-0.8486
249.661953,-16.608151,2.6474
14.380728,78.697547,-0.8489
10.18523,-54.027594,-0.8093
201.122747,-22.810503,-0.8282
101.712384,73.721725,-0.874
214.821486,79.307112,2.2466
156.457503,54.495259,1.5649
332.392522,-21.033856,-0.8858
103.611245,-67.417493,3.0162
244.492333,52.093738,-0.8602
19.459552,61.026847,20.2749
344.109792,38.671963,-0.4903
353.072688,-29.269557,-0.7041
266.066866,27.436683,0.1069
167.47649,36.408948,-0.7883
79.197638,69.737487,-0.8884
292.505882,-64.952285,-0.6396
265.087475,-42.511507,-0.3293
79.903454,-17.33426,-0.9546
162.437506,56.097051,-0.7925
166.607618,70.866225,5.3339
297.507798,-39.885517,-0.3983
246.184086,0.745912,-0.9658
231.540316,19.388227,-0.3909
233.937872,-60.215807,-0.0661
97.369229,52.627583,-0.4049
133.816054,-5.23773,0.559
16.438423,71.042262,-0.5705
283.298809,8.702167,1.0572
155.879357,59.951308,-0.4019
157.765809,-81.163916,-0.3018
88.328255,-11.005161,-0.0795
75.393821,-14.554745,0.3997
211.615895,-55.091228,-0.0691
83.719085,11.094761,-0.7513
23.115187,45.090462,3.1509
276.30267,-1.20305,-0.7629
135.528996,59.751927,-0.7858
136.88481,-37.263669,-0.9412
155.274581,-36.296552,-0.5531
293.416136,-59.970762,-0.6663
115.501283,51.144421,-0.342
272.893036,-63.360704,-0.7758
338.236143,-63.041944,3.3939
237.912551,-88.734964,-0.7001
155.405189,-20.111723,-0.7001
269.2043,-11.357349,-0.4433
164.843053,-8.799235,-0.0494
149.193818,47.910581,1.5898
189.101939,-15.354644,0.1395
114.380041,-89.232958,0.1156
37.530078,19.700402,-0.3
149.346722,-59.178723,-0.7731
44.588477,-85.493607,-0.7106
147.75893,49.927283,-0.9577
200.49614,-45.749767,-0.5835
335.056025,45.952183,0.3072
13.040039,25.510397,-0.5558
223.725026,68.995983,0.0194
164.784667,-25.531409,4.9269
7.294006,27.013909,-0.311
89.837343,12.280317,0.2082
42.654691,50.901975,-0.3024
78.045892,-30.71964,-0.7726
98.845288,17.908115,-0.5305
144.470281,7.357227,-0.8359
190.454182,-82.154874,0.6787
0.356398,-83.879061,0.8497
58.27297,72.54058,-0.4573
33.683899,25.33719,4.0713
197.882424,20.363077,-0.5376
118.466953,43.758176,0.7287
197.423185,-87.181952,-0.5493
79.856389,-48.226224,0.0369
8.722567,27.022534,-0.8861
338.892084,39.309717,-0.6651
38.990924,23.331065,-0.3432
45.669149,-16.017286,0.6826
52.756858,15.996413,-0.3581
353.259549,35.980412,2.1261
222.357686,-16.848844,-0.6072
219.704383,11.51911,-0.8003
355.211353,-75.782692,4.7214
31.837957,-59.480326,-0.9017
350.820321,49.063352,-0.7488
73.444733,-21.599148,-0.3995
224.305741,50.046588,-0.5736
151.230084,31.37134,-0.2942
138.222653,-24.73059,-0.3175
335.247598,48.753347,7.4618
53.721982,-67.255516,-0.5446
358.944844,-61.094013,-0.0657
136.485022,-16.352407,-0.3542
233.558965,28.0439,-0.9672
348.446423,-36.40238,-0.8564
20.736378,-31.819805,-0.9574
332.231171,65.109255,-0.8417
204.412099,71.979518,-0.5227
253.582876,74.256685,0.6464
53.706306,-86.043757,1.9273
192.019475,53.713726,10.9794
242.464937,47.126656,-0.3512
164.249031,-43.533597,-0.3936
55.794664,-49.206408,-0.8973
87.882867,-83.725866,-0.8247
307.581405,57.972384,0.5376
12.409557,19.355202,4.919
255.190348,-87.148398,2.1122
359.780413,-49.453307,-0.7213
2.693879,59.539147,-0.8545
57.976446,18.381774,-0.9341
242.691948,64.040901,-0.4714
21.5967,-63.593015,5.0673
212.324394,81.467007,-0.6856
246.240037,-52.662045,-0.7285
211.732685,-35.366744,-0.5713
131.466493,76.69516,-0.584
251.021627,-33.676745,-0.3614
213.945994,17.135273,-0.9718
74.749382,-28.062785,-0.823
202.728796,43.143348,-0.6375
317.486598,-33.950373,-0.1991
240.059983,-10.568573,-0.7079
169.844943,-74.920368,-0.2539
115.770277,75.769541,-0.7274
30.919035,73.085464,0.5893
88.065768,54.755623,-0.148
4.027231,67.15699,-0.271
355.18533,18.493315,0.5394
80.093611,-74.616611,0.1711
293.355339,-77.293572,-0.7049
60.712157,51.494454,-0.778
102.096414,3.074982,1.9573
150.579835,-40.139226,5.1002
116.786039,-83.25602,1.4187
287.406293,87.127954,1.3457
344.769627,-72.594788,-0.8257
315.106014,-24.432326,-0.5075
55.288032,32.436063,-0.5784
279.607923,22.157582,-0.5959
53.260889,-67.251931,-0.7718
328.817198,21.681454,-0.0924
186.436287,-29.447776,-0.0794
121.097192,-59.291059,-0.7988
56.529179,21.072798,-0.7521
4.251272,72.080656,-0.2351
89.260917,45.274196,-0.4201
329.047223,-60.755451,-0.7075
287.014389,-58.658789,-0.5275
349.125735,-5.52026,-0.8752
36.274148,-86.196571,0.3416
213.184348,-86.265907,-0.6245
92.574171,-44.65563,-0.6397
195.459014,-70.79383,0.0716
115.363759,8.409242,1.1249
102.047598,-82.180853,-0.3923
206.584309,-46.164614,-0.7145
65.994538,-79.523375,-0.0208
168.888037,5.483242,-0.35
234.292415,-26.52904,-0.1183
46.145546,-75.054748,0.6002
335.013938,-26.214105,-0.5096
182.060892,-89.883228,1.0662
295.03007,58.581682,-0.6971
235.405955,-24.52904,-0.7338
255.600339,29.86139,0.7757
257.807139,37.577425,0.0296
315.035963,9.884888,-0.499
220.897957,15.991722,-0.405
100.158175,-12.848446,-0.5762
35.823471,-16.65942,-0.5234
218.250223,-34.928849,-0.8617
23.887009,-77.177247,-0.7606
86.865643,-27.096222,-0.4961
21.854586,-6.74718,-0.9077
197.599532,-65.928028,-0.9545
57.721725,73.447824,-0.9125
219.746635,-88.491768,1.4892
284.711447,-49.718852,5.0528
295.877059,32.365667,-0.1545
111.435663,58.224573,-0.5097
197.623632,-4.725866,1.4
202.683874,15.949659,-0.8376
170.239386,-40.859657,-0.1259
235.841001,81.780347,-0.1193
75.631365,25.949565,-0.554
352.527566,-66.33611,-0.9347
35.308738,42.557108,1.2962
298.519611,-67.001008,-0.6954
213.874555,-17.395335,-0.7394
88.147709,-1.580974,-0.9012
268.443,40.034273,0.2319
30.413122,89.33896,-0.0581
278.79042,-23.1322,0.1601
212.39468,31.632606,-0.6505
39.870115,31.031086,-0.5793
28.622003,-56.845934,-0.7384
270.30108,25.712748,-0.1955
105.456926,68.295286,-0.4049
320.148666,10.032186,-0.5873
274.346288,-3.64021,-0.8633
251.348488,26.558939,-0.589
100.298179,55.232714,-0.898
255.220027,-49.450241,-0.7168
341.333166,-60.641376,-0.7759
32.96154,27.222414,-0.5464
117.418551,-83.774939,-0.1693
84.482016,58.54903,-0.5033
141.570048,-35.626718,-0.7062
267.239756,-70.023639,-0.5618
170.727329,47.641155,-0.2765
205.463018,-49.879421,0.005
113.09576,-17.743224,2.0329
50.864136,-15.503841,9.4973
96.096114,57.64172,2.4589
309.484908,-42.403747,-0.3997
216.870106,23.975831,-0.8024
136.075922,89.755734,-0.6106
284.366153,17.883682,-0.2293
23.204676,-64.624705,-0.635
91.400792,-39.012445,-0.5919
82.837135,6.321797,0.3154
354.731242,-31.985853,-0.5232
254.19549,2.98003,-0.1118
222.402937,7.780064,-0.5373
1.794588,42.395721,-0.9455
66.351601,22.1306,-0.9456
228.794865,35.629748,-0.0458
136.698958,-50.704817,-0.456
332.740938,-13.821923,-0.2827
275.300719,58.523374,-0.1557
161.058266,45.399896,-0.2136
269.825392,-57.23297,-0.4301
351.145557,-78.486136,1.8096
165.953097,27.570251,-0.2184
231.30932,-10.066047,-0.1925
330.719261,-16.114699,-0.6738
89.522878,-85.496622,-0.8488
319.160849,-21.302058,7.1805
35.116094,-57.833624,0.6193
233.441341,-83.816579,-0.1837
281.821736,-18.198511,-0.5429
221.258239,58.466875,0.2776
178.392529,70.446743,-0.6704
222.244956,-47.12703,0.4064
54.598935,-40.504847,2.6421
77.605456,-72.257665,-0.4489
97.163764,73.673751,2.891
215.200563,-78.261511,-0.5588
159.084387,78.70969,-0.9284
88.011303,25.460439,0.626
317.81136,51.569712,-0.4628
134.611863,-50.402779,0.6376
160.571419,19.352843,-0.842
147.492388,-70.416554,-0.6615
65.499464,28.559875,2.04
263.385726,18.06486,-0.1356
161.444974,58.300834,2.6563
5.85256,26.084425,-0.7143
347.044933,84.875,9.3188
293.6749,-1.740271,8.3196
260.481367,9.343633,0.4996
312.873073,-76.346586,-0.2708
326.450611,-70.515585,0.0208
121.496294,-58.769739,1.1243
219.945124,-68.688882,-0.1791
219.170811,-65.284657,-0.5998
96.227881,-43.115167,-0.8231
79.902811,-39.879349,-0.9552
41.006612,35.202227,-0.5742
237.353111,-2.442035,-0.9488
281.130837,76.868796,-0.4947
273.943073,-28.271465,2.951
113.859136,-78.585704,-0.4429
73.893546,61.953893,-0.8045
163.301104,61.68124,-0.672
196.852846,-24.608096,-0.7718
330.871366,-77.326783,3.6723
314.936336,68.557581,-0.7242
329.780999,78.036867,-0.929
306.094459,89.490262,11.9011
347.249234,-19.611151,-0.5174
167.579999,-67.116352,-0.789
17.090459,-21.99801,-0.3869
30.082332,15.402106,-0.5434
140.499411,-82.211424,0.0652
92.767353,-40.641331,-0.5011
61.178613,79.550214,-0.9536
343.153359,-82.04658,-0.5109
70.351052,-62.8293,0.7566
345.376538,14.584304,-0.6818
273.901983,82.392147,0.4527
230.740442,79.257192,0.8833
243.366826,-43.646359,1.4969
119.330757,20.476711,-0.8252
232.713734,83.701835,-0.8021
67.209163,23.342317,-0.3772
337.573956,-50.117864,-0.9312
108.645602,34.855714,-0.8341
91.867144,2.022444,-0.1331
256.018607,-1.119833,-0.9503
236.321539,-2.09224,-0.9296
162.467611,-69.745033,0.1182
227.680644,52.098366,-0.9133
57.417506,-27.547976,14.3132
242.398191,-56.744575,-0.8216
97.41985,-10.6455,-0.8348
98.220952,25.748097,-0.8896
58.384777,9.619502,-0.4205
119.655769,57.437693,-0.5344
119.250382,61.796161,-0.0565
163.504444,21.705843,-0.5611
68.551022,9.307285,0.7883
69.482713,12.011535,-0.5524
195.025886,-19.240975,-0.6228
46.395866,-5.531382,-0.223
248.002923,4.808181,-0.9438
339.820965,54.156806,-0.8463
153.646424,44.255823,3.5573
324.397913,-54.795383,-0.9304
35.393973,86.008876,0.702
15.464746,83.762528,-0.9665
259.692796,-39.740182,-0.9148
273.967766,89.793477,-0.7709
303.500967,4.519376,-0.0217
20.454364,-49.187573,-0.5103
279.68654,39.689597,-0.0637
135.553944,-81.367958,-0.6934
109.201548,33.77442,-0.5212
62.288612,60.300581,-0.3939
358.565672,-26.90157,0.8168
22.918892,-29.767443,3.6519
297.722885,-40.963839,-0.8396
230.217997,-16.650941,-0.5194
264.62896,13.218915,-0.6405
256.218163,47.170646,-0.1524
309.036415,69.590961,2.1646
66.165145,8.74066,-0.3401
0.296862,-4.501963,-0.7014
215.470256,-22.55698,1.0341
127.38911,17.162652,-0.5579
44.563439,-63.923888,-0.505
67.009951,-5.947964,0.2249
119.429752,1.582034,-0.878
25.284014,23.272699,-0.887
20.488753,-77.666375,-0.8208
329.769452,-12.657584,-0.5746
112.35699,47.118463,1.0769
353.603051,51.127424,-0.7315
347.172123,7.77736,-0.677
51.325662,66.940015,-0.2558
257.372749,45.858096,-0.8036
216.28976,53.512971,-0.6586
248.632946,52.73438,-0.4234
34.62876,41.14741,0.196
67.881628,64.122758,0.8782
27.589918,-72.561953,-0.4999
217.488314,0.676357,-0.5758
355.172787,58.578917,-0.5311
241.914434,-70.324883,-0.2252
255.874153,-62.06485,2.5312
354.450615,-17.710259,7.2462
244.08416,11.530325,4.5778
14.465366,40.303159,1.1797
312.122016,10.948927,-0.8221
131.284185,-51.006397,-0.2126
1.570904,62.621448,-0.6088
182.604304,-42.303275,-0.4853
337.3254,64.444266,3.895
92.639047,-0.887113,1.9873
176.944742,-82.714207,0.6761
62.55968,-3.680865,12.9989
20.769362,27.730153,0.635
28.996181,68.392676,2.6139
261.723926,14.783523,0.1819
311.066809,88.458536,-0.2306
51.587582,-21.466629,5.9373
103.794684,-45.773358,-0.7631
70.210608,-10.195064,-0.9124
9.66808,28.516741,-0.8086
199.235293,-72.903367,-0.6494
251.971981,-73.798856,0.8221
233.235893,22.373486,1.7452
139.699277,-20.910925,-0.7635
199.803689,50.980127,-0.7074
33.87575,-42.535071,-0.6427
55.549339,-11.98023,-0.3579
335.446063,2.703299,-0.3894
274.142789,79.623046,-0.0588
332.186074,-88.678504,-0.8041
330.004902,-50.94112,-0.8323
233.781342,-73.434666,-0.7858
334.165913,88.436971,-0.3605
150.013477,-66.20213,-0.8596
1.301848,58.175356,-0.7942
22.525602,3.611144,0.1223
39.415437,50.83826,2.5391
34.327243,-35.691979,-0.0329
126.612861,-4.416456,-0.8355
252.457491,86.018671,0.3921
284.63357,-72.864002,-0.6949
212.476779,21.717861,2.2671
52.717023,82.499048,0.0173
269.244577,-67.198718,-0.781
127.728691,61.206846,-0.2991
4.677606,-40.298461,-0.8871
101.011903,-53.880922,-0.2527
119.016199,-60.031499,-0.559
98.728393,42.412724,6.5507
292.273255,-83.555625,-0.2199
273.573503,-14.307475,-0.3482
250.398731,35.448528,-0.9654
50.041828,-64.866777,0.2956
290.820207,-49.665725,1.466
243.783346,-62.554064,1.4869
70.141567,-85.300852,-0.4772
233.313815,-7.828715,-0.7103
174.064191,-0.583775,1.6946
158.166022,80.225911,-0.4534
40.364339,41.053643,-0.4192
186.589539,84.627703,-0.5924
35.975451,46.243232,-0.9591
59.131219,86.1771,-0.7736
47.716673,-45.323313,-0.3176
343.47898,-59.832439,0.2455
102.551289,-19.56493,-0.4156
127.873556,-1.480147,0.158
115.949018,58.438618,-0.9223
323.37016,7.460717,-0.8071
202.667728,81.444837,8.6126
330.897564,-38.065684,0.4166
107.972966,14.204667,2.0807
41.340483,27.297651,-0.5622
200.238643,-61.944004,1.0903
124.393317,51.39239,0.9946
288.68646,25.091956,7.0664
316.592427,-55.456271,0.0353
170.126464,-15.567419,-0.8271
349.689249,25.335667,-0.7575
199.084682,42.010911,-0.1259
97.531342,-14.87359,-0.9735
176.031186,40.047753,-0.0043
13.431705,-43.07834,0.1909
289.440418,-35.0995,2.5886
36.516618,-87.881526,-0.9314
111.149456,-2.239495,-0.8399
203.513957,-56.099564,-0.3028
15.471045,18.369084,-0.4242
28.554084,83.818299,-0.3785
250.601889,89.937041,0.9545
25.839754,-22.607169,-0.0807
171.749832,42.052627,2.8291
121.930428,82.927293,1.5714
82.108587,4.215922,-0.7296
67.960403,-29.892466,-0.129
274.828066,-61.95837,0.2018
342.55519,-58.308579,4.9559
50.464707,63.736241,-0.1974
345.485239,-43.380718,0.2307
214.114501,-41.28026,-0.6516
230.997746,44.398892,0.1758
255.573496,60.625227,-0.8311
253.482801,-52.480428,-0.7216
295.131999,33.953129,1.7998
174.048714,-9.612995,0.7174
192.009092,-40.186308,2.1317
116.577721,3.642296,8.2404
37.892734,49.948164,0.8992
239.270469,-72.091534,-0.1754
12.099589,-77.19764,-0.686
99.228618,74.112026,-0.6788
33.922751,83.413027,-0.374
68.661777,5.141325,-0.428
229.943129,-64.149354,0.7371
226.251587,-75.859506,-0.7871
151.579769,-61.920489,-0.6882
32.461912,-39.126946,-0.0582
156.01461,33.094332,-0.8961
126.988154,-70.155949,2.5461
259.365295,-65.35112,0.7221
208.449579,38.345906,-0.2186
176.963676,-43.66701,-0.8211
175.31355,-51.109895,-0.4841
347.866879,14.876352,0.4357
272.26592,-75.818115,-0.7134
178.912642,23.239129,-0.9151
172.520141,-86.539725,0.0674
9.532476,-48.055168,-0.111
339.303335,-8.910423,-0.6601
114.90263,23.569555,9.144
92.138069,-53.307488,-0.7727
359.787213,68.255507,2.2347
258.728282,75.424587,0.3636
17.050958,-3.469719,-0.0545
22.278772,-40.96592,8.9415
9.180563,-70.112863,1.4573
215.862804,78.964986,-0.7246
25.76322,-65.956759,-0.6903
336.019808,-36.235847,-0.755
337.286354,-30.787442,-0.1086
196.579464,-41.695631,-0.7366
221.990015,-89.629803,-0.951
105.081985,-52.721851,-0.6547
23.030115,44.731734,0.8678
265.48576,-53.027606,2.1688
36.642956,47.533403,0.691
