galaxy,r_kpc,g_bar,g_obs,log_g_bar,log_g_obs
D0001,3.5526315789473686,6.24687585374707e-08,6.005668507529156e-08,-7.204337124847694,-7.221438643053456
D0001,4.315789473684211,5.1422453674137466e-08,4.971584175294462e-08,-7.288847204400385,-7.303505203024592
D0001,5.078947368421053,4.369576374382665e-08,4.504568462397943e-08,-7.359560665360461,-7.346346808098052
D0001,5.842105263157895,3.798775857008353e-08,3.8696084629660224e-08,-7.420356330803326,-7.4123329758016805
D0001,6.605263157894737,3.3598734671547986e-08,3.4341588959699266e-08,-7.473677077833726,-7.464179614228555
D0001,7.36842105263158,3.011886572342337e-08,3.082472976422756e-08,-7.521161387694907,-7.511100722109983
D0001,8.131578947368421,2.7292176060060016e-08,3.146164824466277e-08,-7.563961835777522,-7.502218528857967
D0001,8.894736842105264,2.4950539652540072e-08,2.4026021672338635e-08,-7.602920056630342,-7.619318135512701
D0001,9.657894736842106,2.2978971124137722e-08,2.1954824293378792e-08,-7.638669420604777,-7.658470034247198
D0001,10.421052631578949,2.1296167683228648e-08,1.9894472209568237e-08,-7.671698542278199,-7.7012675779809046
D0001,11.18421052631579,1.984301741778481e-08,2.0578446488134054e-08,-7.702392286402999,-7.686587414174991
D0001,11.947368421052632,1.8575511899908688e-08,1.9973985818958407e-08,-7.731059209209791,-7.699535262798044
D0001,12.710526315789474,1.7460212013578766e-08,1.717853063643576e-08,-7.7579504871042,-7.765013986242759
D0001,13.473684210526317,1.6471254692497157e-08,1.5356691653480887e-08,-7.7832733173285185,-7.813702335827519
D0001,14.23684210526316,1.5588322370718197e-08,1.4550616702140488e-08,-7.807200621459256,-7.837118599484895
D0001,15.0,1.4795232285190429e-08,1.538141450207717e-08,-7.829878212025179,-7.8130037242095325
D0002,0.5,4.705703198819357e-07,4.914720326157261e-07,-6.327375468400944,-6.308501190804877
D0002,1.263157894736842,1.8626741828659957e-07,1.91868006089731e-07,-6.7298631048237025,-6.7169974376516794
D0002,2.026315789473684,1.1611475425658155e-07,1.0978622576643539e-07,-6.935112592620597,-6.959452144848419
D0002,2.7894736842105265,8.434751016751677e-08,8.501902709601171e-08,-7.073927732712885,-7.070483869131905
D0002,3.5526315789473686,6.622841539079094e-08,6.62161020187675e-08,-7.1789556359431215,-7.1790363886936825
D0002,4.315789473684211,5.451729315705353e-08,5.489940799540355e-08,-7.263465715495813,-7.260432338714129
D0002,5.078947368421053,4.6325575532418534e-08,4.881150623423527e-08,-7.334179176455889,-7.311477790599496
D0002,5.842105263157895,4.0274036386291796e-08,4.0570285346574304e-08,-7.394974841898754,-7.391791937723161
D0002,6.605263157894737,3.5620860867556887e-08,3.70383128398959e-08,-7.448295588929153,-7.431348804414819
D0002,7.36842105263158,3.193155742055992e-08,3.1815308327490634e-08,-7.495779898790334,-7.497363863586677
D0002,8.131578947368421,2.8934744588209638e-08,2.9281732839377484e-08,-7.5385803468729495,-7.533403226100272
D0002,8.894736842105264,2.645217774484254e-08,2.741439802660101e-08,-7.57753856772577,-7.5620212860415155
D0002,9.657894736842106,2.43619511655498e-08,2.173255222248989e-08,-7.613287931700205,-7.66288926810854
D0002,10.421052631578949,2.2577868883224183e-08,2.1885313854916783e-08,-7.646317053373627,-7.659847220836058
D0002,11.18421052631579,2.1037261359427713e-08,2.0172759076662147e-08,-7.6770107974984265,-7.695234698226407
D0002,11.947368421052632,1.9693471536909202e-08,1.8656059546623346e-08,-7.705677720305219,-7.729180080732794
D0002,12.710526315789474,1.8511047780034737e-08,1.800043037205245e-08,-7.7325689981996275,-7.74471711123152
D0002,13.473684210526317,1.7462570464368708e-08,1.919508017298387e-08,-7.757891828423946,-7.716810069604832
D0002,14.23684210526316,1.652649921951345e-08,1.539990600716944e-08,-7.781819132554685,-7.812481929857837
D0002,15.0,1.5685677329397857e-08,1.663739422645212e-08,-7.804496723120606,-7.778914692569963
D0003,0.5,4.905193823692794e-07,4.382055737502111e-07,-6.309343827244859,-6.358322102737054
D0003,1.263157894736842,1.9416392218783975e-07,1.909378377637069e-07,-6.711831463667617,-6.719107999821853
D0003,2.026315789473684,1.2103725019501698e-07,1.2318145192502816e-07,-6.917080951464512,-6.909454681238525
D0003,2.7894736842105265,8.792328551902176e-08,9.20902253054339e-08,-7.055896091556801,-7.035786464495845
D0003,3.5526315789473686,6.903606122234302e-08,7.291830541670833e-08,-7.160923994787036,-7.137163432676471
D0003,4.315789473684211,5.6828465030587244e-08,6.035546753976459e-08,-7.2454340743397285,-7.219283381493835
D0003,5.078947368421053,4.828947287573216e-08,4.7441431290223375e-08,-7.316147535299804,-7.323842216944191
D0003,5.842105263157895,4.198138858115454e-08,4.091867027534431e-08,-7.376943200742669,-7.388078487898872
D0003,6.605263157894737,3.713094926301318e-08,3.960619806746468e-08,-7.430263947773068,-7.402236844986978
D0003,7.36842105263158,3.328524380362967e-08,3.3059884825984234e-08,-7.47774825763425,-7.4806986637569075
D0003,8.131578947368421,3.016138597092656e-08,2.7751225501809556e-08,-7.520548705716865,-7.556717833553139
D0003,8.894736842105264,2.7573574748568956e-08,2.5630631947228214e-08,-7.559506926569685,-7.591240685746673
D0003,9.657894736842106,2.5394736416938166e-08,2.396779648359197e-08,-7.595256290544119,-7.620371891665384
D0003,10.421052631578949,2.35350208712533e-08,2.450268320766792e-08,-7.628285412217543,-7.610786354881286
D0003,11.18421052631579,2.1929101800038375e-08,2.2286576091842267e-08,-7.658979156342342,-7.651956647474766
D0003,11.947368421052632,2.052834419607116e-08,2.165258566544922e-08,-7.687646079149134,-7.664490234498355
D0003,12.710526315789474,1.9295793509350534e-08,1.885348370107745e-08,-7.714537357043542,-7.724608390160252
D0003,13.473684210526317,1.8202867705109975e-08,1.8519999558727982e-08,-7.739860187267861,-7.732359028001925
D0003,14.23684210526316,1.722711324402275e-08,1.8091459104690923e-08,-7.7637874913986,-7.742526405193177
D0003,15.0,1.635064607897598e-08,1.610754826729896e-08,-7.786465081964522,-7.792970558588465
D0004,0.5,5.091939075531012e-07,5.375320055661378e-07,-6.293116801271129,-6.269595672013389
D0004,1.263157894736842,2.0155592173976923e-07,1.9737940665835967e-07,-6.695604437693887,-6.704698160892221
D0004,2.026315789473684,1.256452499157003e-07,1.2557012132426755e-07,-6.9008539254907815,-6.9011136861376245
D0004,2.7894736842105265,9.12706060708389e-08,9.110066388889587e-08,-7.03966906558307,-7.040478458128719
D0004,3.5526315789473686,7.166432772969573e-08,6.763958296141378e-08,-7.144696968813306,-7.169799078751929
D0004,4.315789473684211,5.899197709456661e-08,6.239901073307597e-08,-7.229207048365997,-7.204822295519048
D0004,5.078947368421053,5.012789763476126e-08,4.973780362660404e-08,-7.299920509326073,-7.303313396667748
D0004,5.842105263157895,4.35796587545447e-08,4.4668205702337726e-08,-7.360716174768938,-7.350001492552216
D0004,6.605263157894737,3.854455873907937e-08,4.0753962961680944e-08,-7.414036921799338,-7.389830153581506
D0004,7.36842105263158,3.455244372681758e-08,3.6450771785649174e-08,-7.461521231660519,-7.438293271771243
D0004,8.131578947368421,3.130965774598357e-08,3.3507970210583146e-08,-7.504321679743134,-7.474851879328036
D0004,8.894736842105264,2.862332616422758e-08,2.9120987033196928e-08,-7.543279900595954,-7.535793909035985
D0004,9.657894736842106,2.6361537448253193e-08,2.623840939872101e-08,-7.579029264570389,-7.581062495908274
D0004,10.421052631578949,2.4431020816941723e-08,2.4887108367697877e-08,-7.612058386243812,-7.604025561121681
D0004,11.18421052631579,2.276396292590335e-08,2.0756005333316745e-08,-7.642752130368611,-7.682856226383849
D0004,11.947368421052632,2.1309877188345645e-08,1.9762485584091167e-08,-7.671419053175404,-7.704158433859327
D0004,12.710526315789474,2.0030402160473962e-08,1.873872889366983e-08,-7.698310331069812,-7.727259871996148
D0004,13.473684210526317,1.8895867663103362e-08,1.8082300065558946e-08,-7.7236331612941305,-7.7427463281611395
D0004,14.23684210526316,1.788296532996104e-08,1.8807372405811097e-08,-7.747560465424869,-7.725671875867415
D0004,15.0,1.6973130251770043e-08,1.634565470253545e-08,-7.770238055990791,-7.786597679671923
D0005,0.5,5.460739667598535e-07,5.365812733495106e-07,-6.262748527295326,-6.27036448824792
D0005,1.263157894736842,2.161542785091087e-07,2.3654035255851985e-07,-6.665236163718084,-6.626094760217574
D0005,2.026315789473684,1.347455242654184e-07,1.325944402549232e-07,-6.870485651514978,-6.877474685714269
D0005,2.7894736842105265,9.788118272110582e-08,1.0338593638685618e-07,-7.009300791607267,-6.985538534404402
D0005,3.5526315789473686,7.685485458101642e-08,7.277801457782898e-08,-7.114328694837503,-7.137999796368009
D0005,4.315789473684211,6.326466688071473e-08,6.287498575361998e-08,-7.198838774390195,-7.201522100339593
D0005,5.078947368421053,5.37585770385348e-08,5.085082016507694e-08,-7.269552235350271,-7.293702038015678
D0005,5.842105263157895,4.6736060218185663e-08,4.6042197588698813e-08,-7.330347900793136,-7.336843955722777
D0005,6.605263157894737,4.133627636827576e-08,4.394691580860072e-08,-7.383668647823535,-7.357071598276351
D0005,7.36842105263158,3.705501917299006e-08,3.324350502428758e-08,-7.431152957684716,-7.478293192696078
D0005,8.131578947368421,3.3577363651900376e-08,3.4785318077661856e-08,-7.473953405767332,-7.458604021090526
D0005,8.894736842105264,3.069646558709236e-08,3.1400343427429346e-08,-7.512911626620152,-7.503065601996152
D0005,9.657894736842106,2.8270859314542823e-08,2.738515851152123e-08,-7.548660990594587,-7.562484740932758
D0005,10.421052631578949,2.6200518607164684e-08,2.396398752136962e-08,-7.581690112268009,-7.620440915229299
D0005,11.18421052631579,2.4412718513969922e-08,2.4705934870321167e-08,-7.612383856392809,-7.607198707800065
D0005,11.947368421052632,2.2853315789509286e-08,2.223250866355356e-08,-7.641050779199601,-7.653011529776595
D0005,12.710526315789474,2.14811705350667e-08,2.1966554588048628e-08,-7.6679420570940096,-7.658238055994372
D0005,13.473684210526317,2.0264463610228936e-08,2.0440912263034368e-08,-7.693264887318327,-7.689499725858221
D0005,14.23684210526316,1.917819846291537e-08,2.138559239792407e-08,-7.717192191449066,-7.669878714937863
D0005,15.0,1.820246555866178e-08,1.8050135916093515e-08,-7.739869782014988,-7.743519523542967
D0006,0.5,5.846413746027702e-07,5.423553476092639e-07,-6.233110453217649,-6.265716073354059
D0006,1.263157894736842,2.3142054411359655e-07,2.3195307635937787e-07,-6.635598089640407,-6.6345998631234835
D0006,2.026315789473684,1.4426215736951472e-07,1.4496591371857347e-07,-6.840847577437302,-6.83873410275944
D0006,2.7894736842105265,1.0479420865521353e-07,1.1300138243796461e-07,-6.979662717529591,-6.946916243405898
D0006,3.5526315789473686,8.228286012927877e-08,8.592062301400623e-08,-7.084690620759826,-7.0659025825457755
D0006,4.315789473684211,6.773284217958922e-08,6.865164713073452e-08,-7.169200700312518,-7.163349038453337
D0006,5.078947368421053,5.755536848421053e-08,6.245667320109945e-08,-7.239914161272594,-7.204421152492686
D0006,5.842105263157895,5.003687440293979e-08,4.591599224314324e-08,-7.300709826715459,-7.33803602615553
D0006,6.605263157894737,4.425572158347663e-08,4.2094661774307964e-08,-7.354030573745859,-7.375772975635978
D0006,7.36842105263158,3.967209327661654e-08,3.703702005078613e-08,-7.40151488360704,-7.431363963338979
D0006,8.131578947368421,3.59488223865781e-08,3.474924216249876e-08,-7.444315331689655,-7.459054662389949
D0006,8.894736842105264,3.286445596879477e-08,2.97852417714173e-08,-7.4832735525424745,-7.525998870315304
D0006,9.657894736842106,3.0267537104775565e-08,3.1216170395142995e-08,-7.51902291651691,-7.505620377323328
D0006,10.421052631578949,2.80509750440723e-08,2.7407713095889514e-08,-7.552052038190332,-7.562127200552097
D0006,11.18421052631579,2.6136908511653258e-08,2.3540306759134994e-08,-7.582745782315132,-7.6281878820647355
D0006,11.947368421052632,2.4467370302759105e-08,2.270948106661748e-08,-7.611412705121924,-7.643792789711548
D0006,12.710526315789474,2.2998314942966115e-08,2.3246912799100545e-08,-7.638303983016332,-7.633634713455216
D0006,13.473684210526317,2.1695676010649673e-08,2.2659075221115554e-08,-7.663626813240651,-7.644757818857534
D0006,14.23684210526316,2.0532691529487307e-08,2.3007844983426616e-08,-7.6875541173713895,-7.638124057369414
D0006,15.0,1.9488045820092343e-08,2.3048882573091447e-08,-7.710231707937312,-7.637350124682307
D0007,0.5,5.993108285957251e-07,6.251967962816977e-07,-6.2223478752204455,-6.203983256117894
D0007,1.263157894736842,2.3722720298580786e-07,2.267031344772961e-07,-6.624835511643203,-6.64454247512367
D0007,2.026315789473684,1.4788189277037374e-07,1.3120342868908007e-07,-6.830084999440098,-6.882054815560275
D0007,2.7894736842105265,1.0742363908791298e-07,1.1106150900553335e-07,-6.968900139532386,-6.954436430014145
D0007,3.5526315789473686,8.434744995050945e-08,8.151670685778281e-08,-7.073928042762622,-7.0887533734371235
D0007,4.315789473684211,6.943235209340718e-08,6.880618497116884e-08,-7.158438122315314,-7.162372521384847
D0007,5.078947368421053,5.899951162341335e-08,5.774865041981069e-08,-7.22915158327539,-7.238458160735866
D0007,5.842105263157895,5.129236821314765e-08,5.1708335943520535e-08,-7.289947248718255,-7.286439438290107
D0007,6.605263157894737,4.536615833991545e-08,4.9228226837645144e-08,-7.343267995748654,-7.307785806894212
D0007,7.36842105263158,4.0667520511852775e-08,4.175967233325467e-08,-7.390752305609835,-7.379242917678631
D0007,8.131578947368421,3.6850827648280827e-08,3.7108493479172824e-08,-7.433552753692451,-7.430526676666117
D0007,8.894736842105264,3.3689070246505256e-08,3.20998325642792e-08,-7.472510974545271,-7.493497232909747
D0007,9.657894736842106,3.10269911262092e-08,2.8368040892400643e-08,-7.5082603385197055,-7.5471706557092055
D0007,10.421052631578949,2.8754812483128222e-08,2.8368905961304167e-08,-7.541289460193129,-7.547157412322942
D0007,11.18421052631579,2.679271939604418e-08,2.7156247080837543e-08,-7.571983204317927,-7.56613024855575
D0007,11.947368421052632,2.5081290183521534e-08,2.8372873578387516e-08,-7.60065012712472,-7.54709667703327
D0007,12.710526315789474,2.3575374209769726e-08,2.4168611187071724e-08,-7.627541405019128,-7.616748304955216
D0007,13.473684210526317,2.2240050279919483e-08,2.401318799094841e-08,-7.652864235243447,-7.6195501791779465
D0007,14.23684210526316,2.1047884922955224e-08,2.0748471106460854e-08,-7.676791539374186,-7.683013899650231
D0007,15.0,1.9977027619857503e-08,1.8853421761581526e-08,-7.699469129940107,-7.724609816953618
D0008,0.5,6.395176316359973e-07,6.035612895544695e-07,-6.194147477429795,-6.21927862222978
D0008,1.263157894736842,2.5314239585591563e-07,2.424864706799494e-07,-6.596635113852554,-6.615312487465651
D0008,2.026315789473684,1.5780305196212921e-07,1.789551094700309e-07,-6.801884601649449,-6.747255897257429
D0008,2.7894736842105265,1.1463051887815044e-07,1.091544974513683e-07,-6.940699741741737,-6.961958365515333
D0008,3.5526315789473686,9.000618519321444e-08,9.473878963880131e-08,-7.045727644971973,-7.023472168020005
D0008,4.315789473684211,7.40904573236826e-08,7.019542772835221e-08,-7.130237724524664,-7.153691175292074
D0008,5.078947368421053,6.295769430613445e-08,6.663173743162529e-08,-7.20095118548474,-7.176318862296476
D0008,5.842105263157895,5.4733490995873645e-08,5.60833302344461e-08,-7.261746850927605,-7.251166205820611
D0008,6.605263157894737,4.8409701199537645e-08,4.8013447782127123e-08,-7.315067597958005,-7.318637106799218
D0008,7.36842105263158,4.339583928958553e-08,4.3343653590855045e-08,-7.362551907819186,-7.363074483245323
D0008,8.131578947368421,3.932309061839466e-08,3.7831729860111064e-08,-7.405352355901801,-7.422143800089109
D0008,8.894736842105264,3.594921597953831e-08,3.6970268946905e-08,-7.444310576754622,-7.43214739006168
D0008,9.657894736842106,3.310854223728596e-08,3.2246013696810566e-08,-7.480059940729056,-7.491523965880887
D0008,10.421052631578949,3.068392677041401e-08,2.8491619134070088e-08,-7.513089062402479,-7.545282869784343
D0008,11.18421052631579,2.859020000255047e-08,2.646047005672379e-08,-7.543782806527278,-7.5774024450605335
D0008,11.947368421052632,2.6763953746880945e-08,2.7077584705893653e-08,-7.57244972933407,-7.5673900769028375
D0008,12.710526315789474,2.5157008283817696e-08,2.7646985000363014e-08,-7.599341007228479,-7.558352223097072
D0008,13.473684210526317,2.3732099611492085e-08,2.399204307283169e-08,-7.624663837452797,-7.619932767560453
D0008,14.23684210526316,2.245995379128271e-08,2.23274807445526e-08,-7.648591141583536,-7.65116027650141
D0008,15.0,2.1317254387866577e-08,2.171397045357944e-08,-7.671268732149458,-7.663260757456676
D0009,0.5,6.801361377421126e-07,7.246474044662159e-07,-6.167404149128186,-6.139873259006021
D0009,1.263157894736842,2.692205545229196e-07,2.6942564763375713e-07,-6.5698917855509436,-6.569561064531244
D0009,2.026315789473684,1.6782580022207976e-07,1.6181255747023789e-07,-6.775141273347839,-6.790987777974609
D0009,2.7894736842105265,1.219111945009447e-07,1.2842179725673676e-07,-6.913956413440127,-6.8913612564470785
D0009,3.5526315789473686,9.572286383037141e-08,9.69737326011874e-08,-7.018984316670363,-7.013345887705298
D0009,4.315789473684211,7.879625986036671e-08,8.505115037286978e-08,-7.103494396223055,-7.070319807892556
D0009,5.078947368421053,6.695640734248777e-08,6.68656706097586e-08,-7.174207857183131,-7.174796795405763
D0009,5.842105263157895,5.820984962657721e-08,5.343360085718925e-08,-7.235003522625996,-7.272185557995395
D0009,6.605263157894737,5.148440883306829e-08,4.684575949748892e-08,-7.288324269656395,-7.329329715559363
D0009,7.36842105263158,4.6152095061071925e-08,5.013965726269391e-08,-7.335808579517576,-7.299818639054099
D0009,8.131578947368421,4.18206686637545e-08,4.561989503352316e-08,-7.378609027600191,-7.340845718323161
D0009,8.894736842105264,3.823250478431994e-08,3.73732196603505e-08,-7.417567248453012,-7.427439486563208
D0009,9.657894736842106,3.5211407676022174e-08,3.4005973836593175e-08,-7.453316612427447,-7.468444783652595
D0009,10.421052631578949,3.2632794487626616e-08,3.507579038005041e-08,-7.486345734100869,-7.454992534018004
D0009,11.18421052631579,3.040608615788268e-08,2.81119209118612e-08,-7.517039478225668,-7.5511094776611944
D0009,11.947368421052632,2.8463847174229383e-08,2.665768706145528e-08,-7.545706401032461,-7.5741775345929385
D0009,12.710526315789474,2.6754837716563435e-08,2.7443957961715594e-08,-7.572597678926869,-7.561553254591543
D0009,13.473684210526317,2.5239426986523708e-08,2.4358790716912542e-08,-7.597920509151187,-7.613344275891709
D0009,14.23684210526316,2.388648173216292e-08,2.3591489988254965e-08,-7.621847813281926,-7.627244629133808
D0009,15.0,2.2671204591403754e-08,2.218277520126705e-08,-7.644525403847848,-7.653984121883841
D0010,0.5,7.001531449031901e-07,7.180689405344318e-07,-6.154806956111496,-6.143833857907602
D0010,1.263157894736842,2.771439531908461e-07,3.018352882995704e-07,-6.557294592534254,-6.520229987165225
D0010,2.026315789473684,1.727650617293586e-07,1.746999387392836e-07,-6.762544080331149,-6.757707247307829
D0010,2.7894736842105265,1.2549914861472274e-07,1.3096809582035402e-07,-6.901359220423438,-6.882834486761709
D0010,3.5526315789473686,9.854007224563417e-08,8.77739507708667e-08,-7.006387123653673,-7.056634353285526
D0010,4.315789473684211,8.111530337293056e-08,8.136910357337707e-08,-7.0908972032063655,-7.089540468510719
D0010,5.078947368421053,6.892699353969229e-08,6.601253243482931e-08,-7.161610664166441,-7.180373606115622
D0010,5.842105263157895,5.992301690612889e-08,5.612482809984193e-08,-7.222406329609306,-7.250844976151728
D0010,6.605263157894737,5.299964045083909e-08,5.0654129360175346e-08,-7.275727076639706,-7.2953851448695834
D0010,7.36842105263158,4.7510391975573614e-08,4.687825806718613e-08,-7.323211386500887,-7.329028534487069
D0010,8.131578947368421,4.305148787430619e-08,4.5620707655666034e-08,-7.366011834583502,-7.340837982352505
D0010,8.894736842105264,3.935772116319707e-08,3.662687559383757e-08,-7.404970055436322,-7.436200126659744
D0010,9.657894736842106,3.6247710499075235e-08,3.6527618329422414e-08,-7.440719419410756,-7.4373786436958165
D0010,10.421052631578949,3.359320644737528e-08,3.285783068330801e-08,-7.47374854108418,-7.483361112640708
D0010,11.18421052631579,3.1300964125083796e-08,3.089607833315866e-08,-7.504442285208979,-7.510096642463715
D0010,11.947368421052632,2.930156333295289e-08,3.1201642099096094e-08,-7.533109208015771,-7.505822549064581
D0010,12.710526315789474,2.7542256217723835e-08,2.8570852676099092e-08,-7.560000485910179,-7.54407679822423
D0010,13.473684210526317,2.5982245611641822e-08,2.8187461025380698e-08,-7.585323316134498,-7.549944041273709
D0010,14.23684210526316,2.458948198366102e-08,2.4516246133749138e-08,-7.609250620265237,-7.6105460271472865
D0010,15.0,2.333843816343967e-08,2.2546234537308823e-08,-7.631928210831159,-7.646925979560697
D0011,0.5,7.309704012468178e-07,7.282004587311623e-07,-6.136100208316327,-6.137749051817415
D0011,1.263157894736842,2.893424504935321e-07,2.959055569507124e-07,-6.5385878447390855,-6.528846878940855
D0011,2.026315789473684,1.8036931978817587e-07,1.8378185047104525e-07,-6.74383733253598,-6.735697379943759
D0011,2.7894736842105265,1.310229964499013e-07,1.242457896698071e-07,-6.882652472628268,-6.9057183193282405
D0011,3.5526315789473686,1.0287731573103362e-07,1.043192611960288e-07,-6.987680375858504,-6.981635497337079
D0011,4.315789473684211,8.468559526639963e-08,8.653747863595574e-08,-7.072190455411196,-7.062795762597467
D0011,5.078947368421053,7.196081670305459e-08,8.324403529472089e-08,-7.142903916371272,-7.079646875315857
D0011,5.842105263157895,6.256052983643937e-08,6.99548671911892e-08,-7.203699581814137,-7.1551820635775965
D0011,6.605263157894737,5.533242081151211e-08,5.317636720520958e-08,-7.257020328844536,-7.27428133523727
D0011,7.36842105263158,4.9601562941748346e-08,4.923607614085434e-08,-7.304504638705717,-7.307716565372672
D0011,8.131578947368421,4.4946400076665176e-08,4.168933178445832e-08,-7.3473050867883325,-7.379975065887092
D0011,8.894736842105264,4.109005214109331e-08,4.008871755250403e-08,-7.386263307641153,-7.396977836709802
D0011,9.657894736842106,3.784315428798239e-08,3.885978132640547e-08,-7.422012671615588,-7.410499647611755
D0011,10.421052631578949,3.5071812181034186e-08,3.782375804179325e-08,-7.45504179328901,-7.422235323303484
D0011,11.18421052631579,3.2678676761622446e-08,3.163046577476395e-08,-7.4857355374138095,-7.499894412829127
D0011,11.947368421052632,3.0591272298875635e-08,2.9737580537313666e-08,-7.514402460220602,-7.526694368767589
D0011,12.710526315789474,2.8754529241593246e-08,2.5611576598884956e-08,-7.5412937381150105,-7.59156368638433
D0011,13.473684210526317,2.712585473376863e-08,2.711675040057985e-08,-7.566616568339329,-7.566762356385188
D0011,14.23684210526316,2.5671788583529645e-08,2.437495299303322e-08,-7.590543872470068,-7.613056213163209
D0011,15.0,2.4365680041560593e-08,2.385528841858767e-08,-7.613221463035989,-7.6224153283046405
D0012,0.5,7.690627096629719e-07,7.346069623649901e-07,-6.114038246219107,-6.133944959869887
D0012,1.263157894736842,3.0442065590825973e-07,3.0374870751084194e-07,-6.516525882641865,-6.517485561367635
D0012,2.026315789473684,1.8976872056618784e-07,1.723793873178532e-07,-6.72177537043876,-6.763514667219654
D0012,2.7894736842105265,1.3785086305279685e-07,1.2733145607004468e-07,-6.860590510531048,-6.895064294617618
D0012,3.5526315789473686,1.0823845543404787e-07,1.2164735836519167e-07,-6.965618413761284,-6.9148973175582915
D0012,4.315789473684211,8.909872855851502e-08,8.314901896473093e-08,-7.050128493313975,-7.080142870445873
D0012,5.078947368421053,7.571083670257235e-08,7.142522424040272e-08,-7.120841954274051,-7.146148387470013
D0012,5.842105263157895,6.582068235854263e-08,7.285541151428009e-08,-7.181637619716916,-7.137538184408674
D0012,6.605263157894737,5.821590232508551e-08,6.809182365438044e-08,-7.234958366747316,-7.166905034268883
D0012,7.36842105263158,5.218639815570165e-08,4.902381995764186e-08,-7.282442676608497,-7.309592851348143
D0012,8.131578947368421,4.728864557798208e-08,4.6474078333883396e-08,-7.325243124691113,-7.3327892143258895
D0012,8.894736842105264,4.3231335750285396e-08,4.417879426955938e-08,-7.364201345543933,-7.354786141095245
D0012,9.657894736842106,3.98152356501266e-08,4.382124015985178e-08,-7.399950709518367,-7.35831533588168
D0012,10.421052631578949,3.6899473443425414e-08,3.502813050278408e-08,-7.4329798311917905,-7.4555830409292625
D0012,11.18421052631579,3.4381627020226975e-08,3.4020652584627466e-08,-7.463673575316589,-7.468257360000803
D0012,11.947368421052632,3.2185443796467984e-08,3.367644843720499e-08,-7.492340498123382,-7.472673716027916
D0012,12.710526315789474,3.0252984438087916e-08,3.1073227127058693e-08,-7.51923177601779,-7.507613640510926
D0012,13.473684210526317,2.8539436491399343e-08,2.803551123873534e-08,-7.544554606242109,-7.55229151996009
D0012,14.23684210526316,2.7009596087978674e-08,2.6891219040250684e-08,-7.568481910372848,-7.570389509771717
D0012,15.0,2.563542365543239e-08,2.3804404708679948e-08,-7.591159500938769,-7.623342674721629
D0013,0.5,8.154725772148203e-07,7.957266661140819e-07,-6.088590638872053,-6.099236087770077
D0013,1.263157894736842,3.227912284808664e-07,3.14494099838147e-07,-6.491078275294812,-6.502387497855505
D0013,2.026315789473684,2.0122050606599462e-07,2.0138091497058668e-07,-6.696327763091706,-6.695981690265538
