galaxy,slope_tail,Rmax,Vmax,n_outer,outer_fit_ok,logMbar,Mgas,res_mond,res_velos,res_newtonian,best_model
UGC10024,-0.0233372443034117,36.9855,89.0417,11,True,9.403174412876153,1.1376836009849207,0.2738818712750888,0.2738818712750888,0.0005446269716771218,newtonian
UGC10025,-0.0100243089716741,10.3021,194.4672,13,True,9.542583435340308,1.505772826460929,0.2601247957420336,0.2601247957420336,0.00010048677035958584,newtonian
UGC10026,-0.1161168286449383,31.0098,264.9031,12,True,10.64312202349689,0.6037087111092723,0.3795999465394963,0.3795999465394963,0.013483117894557963,newtonian
UGC10027,0.1630826026268065,31.2203,248.6471,10,True,11.284125598627902,1.3636806448241916,0.11351333265272637,0.11351333265272637,0.02659593527953287,newtonian
UGC10028,0.1835043307014381,11.2372,202.9071,7,True,10.041740201973292,0.5444386538408462,0.10016950868474464,0.10016950868474464,0.033673839386182756,newtonian
UGC10029,0.0501878441195978,46.5199,226.171,13,True,9.773585117864112,0.3080439688576816,0.20233097557777524,0.20233097557777524,0.0025188196973730476,newtonian
UGC10030,-0.1808858958736758,21.9968,245.2527,9,True,11.20004140334798,1.3412072434576543,0.463605603199698,0.463605603199698,0.03271970732602228,newtonian
UGC10031,0.0439103349304874,7.6348,217.5878,5,True,9.619553223735451,2.825332454309168,0.20801778258322018,0.20801778258322018,0.0019281175137075817,newtonian
UGC10032,0.1707977082108221,33.2317,266.769,6,True,9.51367034107542,2.076040556358686,0.10837414891924704,0.10837414891924704,0.029171857130069128,newtonian
UGC10033,0.074640570410337,16.6426,267.4964,13,True,9.96811849160076,4.666527409226982,0.18093064434084347,0.18093064434084347,0.005571214751180476,newtonian
UGC10034,0.0802365670158798,23.7063,237.4793,13,True,11.362062798769893,4.162837402694176,0.176201339670614,0.176201339670614,0.006437906686493771,newtonian
UGC10035,0.0369640081087751,7.1862,225.2891,11,True,9.99552829894286,3.3702447516841074,0.2144023297866905,0.2144023297866905,0.0013663378954655912,newtonian
UGC10036,0.1817739548081164,6.1738,280.2709,13,True,10.931693580592343,4.2828882781220505,0.10126781583846672,0.10126781583846672,0.03304177064658314,newtonian
UGC10037,0.1493655935310613,30.9385,300.8343,13,True,11.259217390007528,0.5925578069418713,0.12294448699982494,0.12294448699982494,0.02231008053088622,newtonian
UGC10038,-0.3048567967354808,47.0913,113.7262,5,True,10.85357934658562,4.9913195574774845,0.647794463251299,0.647794463251299,0.09293766651581824,newtonian
UGC10039,0.2376617934201813,7.1867,170.4125,4,True,10.878153558983213,2.221691254332088,0.06882133463151564,0.06882133463151564,0.056483128051696925,newtonian
UGC10040,0.1012753920666098,13.5703,232.1175,7,True,9.739438965273264,3.403307074376359,0.15898131297163573,0.15898131297163573,0.010256705038245533,newtonian
UGC10041,0.0829474447177701,31.1227,341.9864,5,True,10.979086952065348,3.304136610043211,0.17393283386743744,0.17393283386743744,0.0068802785852075275,newtonian
UGC10042,0.2492177949734919,43.4645,235.3599,4,True,9.888431232658249,4.312433476085737,0.06289171435795755,0.06289171435795755,0.06210950933144944,newtonian
UGC10043,0.1062343526106123,21.6918,188.7623,11,True,9.868784389366668,4.6947566194263,0.1550513850639836,0.1550513850639836,0.01128573767459591,newtonian
UGC10044,-0.0065428072465309,36.8561,320.1397,10,True,10.7303068136355,4.33396490663653,0.25658561557319615,0.25658561557319615,4.280832666525726e-05,newtonian
UGC10045,0.0476112353478026,16.7689,302.8197,9,True,9.771588205626283,1.678194970850577,0.20465559438354125,0.20465559438354125,0.002266829731343848,newtonian
UGC10046,0.0392793720462772,45.0429,254.22,11,True,9.806477922621756,1.8216134481173945,0.21226349702207267,0.21226349702207267,0.0015428690683498625,newtonian
UGC10047,0.0858721823433058,36.8202,202.6393,11,True,11.236595391288551,4.402155316864252,0.17150184935709617,0.17150184935709617,0.007374031700401962,newtonian
UGC10048,0.0025538373997674,16.0803,238.4361,7,True,10.902361056451612,3.136601545951658,0.24745268468569706,0.24745268468569706,6.522085464450714e-06,newtonian
UGC10049,0.0766267640508708,18.3459,308.4344,14,True,9.979095662284989,0.905455757029774,0.17924489691803705,0.17924489691803705,0.0058716609689078245,newtonian
UGC10050,-0.0220957357599314,15.2381,264.2401,7,True,9.902025743324668,2.472646219972316,0.2725839572987041,0.2725839572987041,0.0004882215387727113,newtonian
UGC10051,0.0892271931389716,18.1252,263.3111,12,True,9.898388903965444,3.093040297283252,0.16873429885648775,0.16873429885648775,0.00796149199545934,newtonian
UGC10053,0.1620001382927818,41.401,135.8897,14,True,10.490170783281371,4.705373237215192,0.11424390651409862,0.11424390651409862,0.026244044806880425,newtonian
UGC10054,-0.0783210042747494,40.2177,147.8184,10,True,10.413037492540443,2.12733739242972,0.33445518398535473,0.33445518398535473,0.006134179710605314,newtonian
UGC10055,0.0788369832910333,17.3374,187.5427,10,True,10.147299265344262,2.4251974370206653,0.1773782866433974,0.1773782866433974,0.006215269934430663,newtonian
UGC10056,-0.0940425676586139,21.0811,221.1624,6,True,9.617668125121336,0.542758495836948,0.35288657219043884,0.35288657219043884,0.008844004531824972,newtonian
UGC10057,0.4453944249053413,12.0734,147.1355,4,True,11.221228607656943,4.002686576589359,0.002981768831418409,0.002981768831418409,0.19837619373675972,mond
UGC10058,0.1998492445238034,33.0912,161.0014,10,True,10.362722076023749,0.4589053322210019,0.09009047601293158,0.09009047601293158,0.03993972053673496,newtonian
UGC10059,-0.0142254470380831,9.5105,123.7834,15,True,10.444552093139947,1.3195106679246071,0.26442781038151647,0.26442781038151647,0.00020236334343330724,newtonian
UGC10060,-0.0528862406107884,29.017,123.3658,17,True,11.16890591800523,1.4873618742988046,0.3056831950567306,0.3056831950567306,0.002796954445942204,newtonian
UGC10061,0.3564610092127757,35.802,113.0319,11,True,9.283656149788992,1.0876033161545215,0.020603441876214868,0.020603441876214868,0.12706445108899056,mond
UGC10062,0.0889685249329955,36.448,258.0932,10,True,10.141768649040962,1.66851335284408,0.16894687349575754,0.16894687349575754,0.00791539842875304,newtonian
UGC10063,0.1150454976081816,24.0259,299.1541,7,True,9.591893468375709,0.983526085376368,0.1481899689117325,0.1481899689117325,0.013235466519914118,newtonian
UGC10064,0.4491818834212652,28.8902,216.5477,5,True,10.449861675355123,0.2984448644735018,0.0025824809726098814,0.0025824809726098814,0.20176436439387507,mond
UGC10065,0.1126194197305573,34.3234,210.9859,7,True,10.028825655535032,3.889558511878572,0.15006371396989016,0.15006371396989016,0.012683133700447437,newtonian
UGC10066,0.0249789188157764,29.7967,258.0677,6,True,11.450783788188296,3.392877039267976,0.22564502756942875,0.22564502756942875,0.0006239463852051483,newtonian
UGC10067,0.4824856527525294,27.3909,113.7859,12,True,10.03072919098648,4.073403886436405,0.00030675235950498045,0.00030675235950498045,0.2327924051120344,mond
UGC10068,0.0452267149734673,17.2639,189.7092,9,True,10.37077599334229,2.109145597180529,0.20681874077382395,0.20681874077382395,0.0020454557472912513,newtonian
UGC10069,0.0417171919093017,45.7409,205.7302,9,True,10.229621338666794,2.8066854676290625,0.21002313219149582,0.21002313219149582,0.001740324100797507,newtonian
UGC10070,0.1432321519466868,31.7693,289.7274,9,True,10.355528001890145,1.7674731539659891,0.12728329740459196,0.12728329740459196,0.02051544935127877,newtonian
UGC10071,-0.1483729396449881,43.0334,142.4085,6,True,10.710591383776588,3.195175089341686,0.4203874688638834,0.4203874688638834,0.022014529218895282,newtonian
UGC10072,-0.1608215085992181,7.2859,93.6251,8,True,10.026443742703506,1.8306203656327085,0.43668506622734643,0.43668506622734643,0.025863557628128378,newtonian
UGC10073,0.0273656815385619,13.6477,128.4851,13,True,11.305349816406151,2.1266553874351435,0.2233831989875081,0.2233831989875081,0.0007488805260699875,newtonian
UGC10074,0.0621330236018284,46.9385,207.7409,12,True,9.669291956336671,0.1157176843574016,0.191727489020077,0.191727489020077,0.0038605126219053653,newtonian
UGC10075,0.1037857680467662,7.259,340.1361,8,True,9.648655877859426,1.380361185018404,0.15698571760229096,0.15698571760229096,0.010771485649057156,newtonian
UGC10076,-0.0629335826166246,27.5403,229.0083,17,True,9.46537996906278,0.8880491753086417,0.31689421843758814,0.31689421843758814,0.003960635820963514,newtonian
UGC10077,0.0995644597602122,37.9946,128.8558,17,True,9.412785718334291,1.2098773514627603,0.1603486218871307,0.1603486218871307,0.009913081647342916,newtonian
UGC10078,0.3383818474873576,38.3001,133.442,16,True,9.335703492367726,1.3490144286325956,0.026120427221599737,0.026120427221599737,0.11450227470895735,mond
UGC10080,0.3326304892066937,43.7688,257.9428,5,True,9.81184277195708,4.496689970912198,0.028012553143190677,0.028012553143190677,0.11064304234988437,mond
UGC10081,0.1410891597623316,24.8364,221.9304,14,True,10.781946755863189,1.913243826614936,0.12881699124010912,0.12881699124010912,0.019906151002440732,newtonian
UGC10082,-0.0107626248583223,12.5865,271.6391,12,True,9.873355453877112,4.774493093108712,0.26087845895216333,0.26087845895216333,0.00011583409384097712,newtonian
UGC10083,0.1083904104818204,45.2452,262.6426,8,True,10.72156050872547,3.5557962945444785,0.15335807060259712,0.15335807060259712,0.011748481084417521,newtonian
UGC10084,-0.010736365553231,32.9987,319.6154,10,True,9.937196100930128,4.148688284124959,0.2608516350985236,0.2608516350985236,0.0001152695452926052,newtonian
UGC10086,0.1877557218906073,17.4575,312.8024,7,True,10.020500930701234,2.3440089498142864,0.09749648921205578,0.09749648921205578,0.03525221110266307,newtonian
UGC10087,0.0437947767269751,24.2497,343.6174,7,True,9.254263168463414,0.672279956089256,0.20812320574159052,0.20812320574159052,0.0019179824685655997,newtonian
UGC10088,-0.0625866760673067,21.517,314.9171,5,True,10.420230032134793,1.852885209537101,0.3165037680884607,0.3165037680884607,0.003917092021153981,newtonian
UGC10090,0.0382032573461308,5.0308,85.4208,7,True,9.654647488343128,2.481250568462246,0.21325623152572393,0.21325623152572393,0.001459488871854697,newtonian
UGC10091,-0.1179126566796925,23.4623,137.0368,5,True,10.882081113907608,0.9184872164623034,0.38181605128495555,0.38181605128495555,0.013903394605263032,newtonian
UGC10092,0.2760525708323245,44.5031,209.9783,8,True,10.935859543375416,3.257430288074586,0.05015245103081104,0.05015245103081104,0.07620502186313553,mond
UGC10093,0.1037166190753478,46.3915,206.929,16,True,10.81382993290481,3.986672033615068,0.157040517997073,0.157040517997073,0.010757137072420798,newtonian
UGC10094,-0.0973147750476327,40.0544,125.6512,4,True,11.259730827345466,3.0358150451797674,0.356784940490204,0.356784940490204,0.009470165442571355,newtonian
UGC10095,0.0351372557588784,25.3592,337.341,15,True,11.14863518654648,3.8876774359967534,0.21609737098338644,0.21609737098338644,0.001234626742264833,newtonian
UGC10096,-0.0025166168611305,7.0956,161.8996,12,True,11.501859757275174,1.810504776700364,0.2525229502215562,0.2525229502215562,6.33336042572633e-06,newtonian
UGC10097,0.0144889243378492,16.7862,301.1704,12,True,11.16915786533584,2.8339696151746523,0.2357210045906187,0.2357210045906187,0.00020992892846791888,newtonian
UGC10098,0.0217206208685207,7.493,198.2248,8,True,9.325939116720004,0.3154611742924319,0.2287511645023933,0.2287511645023933,0.0004717853709140169,newtonian
UGC10099,0.0998569954491252,44.8994,165.7353,7,True,9.985695678248147,0.2636720690105338,0.16011442409100143,0.16011442409100143,0.00997141954012661,newtonian
