galaxy,r_kpc,g_bar,g_obs,log_g_bar,log_g_obs,logMbar,env_proxy
G0003,11.18421052631579,5.0289550906899735e-09,7.127353898772591e-09,-8.298522242675476,-8.147071676383593,9.042105,-0.196778
G0003,11.947368421052632,4.7077222765269575e-09,4.888836912455257e-09,-8.32718916548227,-8.310794450198246,9.042105,-0.196778
G0003,12.710526315789474,4.4250640031951105e-09,4.925211430609487e-09,-8.354080443376677,-8.30757512127275,9.042105,-0.196778
G0003,13.473684210526317,4.174425612389137e-09,5.4450985195662205e-09,-8.379403273600996,-8.263994258035499,9.042105,-0.196778
G0003,14.23684210526316,3.950657880856263e-09,4.726266767376459e-09,-8.403330577731735,-8.325481768880156,9.042105,-0.196778
G0003,15.0,3.749659497444278e-09,5.402473704048685e-09,-8.426008168297656,-8.267407338320583,9.042105,-0.196778
G0004,0.5,1.2166895137307194e-07,1.475875441745561e-07,-6.914820234980434,-6.8309502937631255,9.189474,-0.990574
G0004,1.263157894736842,4.8160626585174316e-08,5.3761223028976186e-08,-7.317307871403192,-7.269530859956206,9.189474,-0.990574
G0004,2.026315789473684,3.00222087803684e-08,3.4404045738416714e-08,-7.5225573592000865,-7.463390483633237,9.189474,-0.990574
G0004,2.7894736842105265,2.180858562347516e-08,2.320699579405833e-08,-7.661372499292375,-7.6343810764552575,9.189474,-0.990574
G0004,3.5526315789473686,1.7123778341395313e-08,1.7864050124656244e-08,-7.766400402522611,-7.748020071350016,9.189474,-0.990574
G0004,4.315789473684211,1.4095793146880284e-08,1.785526539910069e-08,-7.850910482075303,-7.748233690108091,9.189474,-0.990574
G0004,5.078947368421053,1.1977772414965633e-08,1.5100002222794547e-08,-7.921623943035379,-7.821022988776543,9.189474,-0.990574
G0004,5.842105263157895,1.04131084508485e-08,1.4053312259160284e-08,-7.982419608478243,-7.852221303777311,9.189474,-0.990574
G0004,6.605263157894737,9.210000303140904e-09,1.0152529923478325e-08,-8.035740355508644,-7.993425721800263,9.189474,-0.990574
G0004,7.36842105263158,8.25610741460131e-09,1.1558985167380208e-08,-8.083224665369825,-7.937080293558544,9.189474,-0.990574
G0004,8.131578947368421,7.481262382162998e-09,8.65215434623477e-09,-8.126025113452439,-8.062875741761822,9.189474,-0.990574
G0004,8.894736842105264,6.839378923338363e-09,9.474481740329904e-09,-8.16498333430526,-8.023444536871313,9.189474,-0.990574
G0004,9.657894736842106,6.298937537025522e-09,7.177716636353072e-09,-8.200732698279694,-8.144013690847773,9.189474,-0.990574
G0004,10.421052631578949,5.837651707293855e-09,6.447857453275847e-09,-8.233761819953116,-8.19058457231029,9.189474,-0.990574
G0004,11.18421052631579,5.439317826090275e-09,6.638138294615905e-09,-8.264455564077917,-8.177953704027004,9.189474,-0.990574
G0004,11.947368421052632,5.091872414291557e-09,6.703121375788218e-09,-8.293122486884709,-8.173722916611375,9.189474,-0.990574
G0004,12.710526315789474,4.786149225855832e-09,5.789909802589255e-09,-8.320013764779118,-8.237328201824011,9.189474,-0.990574
G0004,13.473684210526317,4.515058742360091e-09,5.064954484674108e-09,-8.345336595003436,-8.295424452997421,9.189474,-0.990574
G0004,14.23684210526316,4.273031563934134e-09,4.4275514184703e-09,-8.369263899134173,-8.35383638651773,9.189474,-0.990574
G0004,15.0,4.055631712435732e-09,4.1751724240363645e-09,-8.391941489700097,-8.379325584548933,9.189474,-0.990574
G0005,0.5,1.312080851345702e-07,1.6415079713513837e-07,-6.882039402604095,-6.784757003945598,9.336842,-0.722233
G0005,1.263157894736842,5.193653369910071e-08,6.809997840259818e-08,-7.284527039026853,-7.166853025820459,9.336842,-0.722233
G0005,2.026315789473684,3.2376021007231605e-08,3.7912269567221826e-08,-7.489776526823748,-7.421220216338073,9.336842,-0.722233
G0005,2.7894736842105265,2.3518430354309753e-08,2.5070919981807063e-08,-7.628591666916036,-7.600829729237176,9.336842,-0.722233
G0005,3.5526315789473686,1.8466323093013583e-08,2.394489523794374e-08,-7.733619570146272,-7.620787058712519,9.336842,-0.722233
G0005,4.315789473684211,1.5200936692419716e-08,1.58534859254659e-08,-7.818129649698964,-7.79987522860466,9.336842,-0.722233
G0005,5.078947368421053,1.2916858122056133e-08,1.4300268597413344e-08,-7.88884311065904,-7.844655805242703,9.336842,-0.722233
G0005,5.842105263157895,1.1229520799805556e-08,1.4211582204879561e-08,-7.949638776101905,-7.847357568476718,9.336842,-0.722233
G0005,6.605263157894737,9.932086125724435e-09,9.313036272837909e-09,-8.002959523132304,-8.030908705531854,9.336842,-0.722233
G0005,7.36842105263158,8.903405776988691e-09,1.1012780043710257e-08,-8.050443832993485,-7.958103034775883,9.336842,-0.722233
G0005,8.131578947368421,8.067811060054478e-09,9.054027081639069e-09,-8.093244281076101,-8.043158210813948,9.336842,-0.722233
G0005,8.894736842105264,7.375602418807198e-09,8.876699918891547e-09,-8.132202501928921,-8.05174846140531,9.336842,-0.722233
G0005,9.657894736842106,6.792789148656222e-09,8.02555773267751e-09,-8.167951865903355,-8.09552477676639,9.336842,-0.722233
G0005,10.421052631578949,6.295337418072811e-09,7.646693370719934e-09,-8.200980987576779,-8.116526324493202,9.336842,-0.722233
G0005,11.18421052631579,5.865773217780785e-09,7.476225385838321e-09,-8.231674731701577,-8.126317614415942,9.336842,-0.722233
G0005,11.947368421052632,5.491087263341042e-09,6.050664691942719e-09,-8.26034165450837,-8.21819691358119,9.336842,-0.722233
G0005,12.710526315789474,5.161394653326777e-09,7.048664378400028e-09,-8.287232932402778,-8.151893167837425,9.336842,-0.722233
G0005,13.473684210526317,4.8690500342906894e-09,6.225011622747336e-09,-8.312555762627097,-8.205859833358279,9.336842,-0.722233
G0005,14.23684210526316,4.608047352230745e-09,5.9583900957380675e-09,-8.336483066757836,-8.224871066934925,9.336842,-0.722233
G0005,15.0,4.373602837819006e-09,5.830842590033599e-09,-8.359160657323757,-8.234268682674745,9.336842,-0.722233
G0006,0.5,1.4110718620782306e-07,1.814756470699106e-07,-6.850450868237632,-6.741181646400677,9.484211,-0.219543
G0006,1.263157894736842,5.585492787392996e-08,7.222506047098132e-08,-7.252938504660389,-7.141312085867255,9.484211,-0.219543
G0006,2.026315789473684,3.48186563369953e-08,4.1764742686623496e-08,-7.458187992457284,-7.37919018994647,9.484211,-0.219543
G0006,2.7894736842105265,2.5292797527817336e-08,2.5967645404039365e-08,-7.597003132549573,-7.585567427898329,9.484211,-0.219543
G0006,3.5526315789473686,1.9859529910730648e-08,2.332411328598721e-08,-7.702031035779808,-7.632194857863253,9.484211,-0.219543
G0006,4.315789473684211,1.6347783767979497e-08,1.7992867711970392e-08,-7.786541115332501,-7.744899613072991,9.484211,-0.219543
G0006,5.078947368421053,1.3891381025640611e-08,1.4268215853589093e-08,-7.857254576292576,-7.845630329154713,9.484211,-0.219543
G0006,5.842105263157895,1.20767411619308e-08,1.4751062964153117e-08,-7.9180502417354415,-7.831176683222574,9.484211,-0.219543
G0006,6.605263157894737,1.0681420469914892e-08,1.2003294610249871e-08,-7.97137098876584,-7.92069953439658,9.484211,-0.219543
G0006,7.36842105263158,9.575130492673704e-09,1.0255322648803172e-08,-8.018855298627022,-7.989050671483765,9.484211,-0.219543
G0006,8.131578947368421,8.676493650319216e-09,9.27992433343064e-09,-8.061655746709636,-8.032455564913413,9.484211,-0.219543
G0006,8.894736842105264,7.932060763161651e-09,9.698101132047837e-09,-8.100613967562458,-8.013313291362863,9.484211,-0.219543
G0006,9.657894736842106,7.305276670159776e-09,9.011489237690628e-09,-8.136363331536892,-8.045203431632928,9.484211,-0.219543
G0006,10.421052631578949,6.7702942877490845e-09,9.161003974627364e-09,-8.169392453210314,-8.038056928433948,9.484211,-0.219543
G0006,11.18421052631579,6.308321265761501e-09,7.499465100231722e-09,-8.200086197335114,-8.124969711581912,9.484211,-0.219543
G0006,11.947368421052632,5.905366823675414e-09,7.781714783351231e-09,-8.228753120141906,-8.108924691071044,9.484211,-0.219543
G0006,12.710526315789474,5.550800285607945e-09,7.56721512161236e-09,-8.255644398036315,-8.121063919686296,9.484211,-0.219543
G0006,13.473684210526317,5.236399488180933e-09,6.971421293547244e-09,-8.280967228260634,-8.156678671397149,9.484211,-0.219543
G0006,14.23684210526316,4.955705245746096e-09,4.586722207410033e-09,-8.304894532391373,-8.338497561904692,9.484211,-0.219543
G0006,15.0,4.703572873594102e-09,6.308629485694079e-09,-8.327572122957294,-8.200064978544837,9.484211,-0.219543
G0007,0.5,1.5136616634266337e-07,1.8636988878116852e-07,-6.819971188328361,-6.729624253959193,9.631579,-0.279083
G0007,1.263157894736842,5.991577417730425e-08,7.438310772776568e-08,-7.2224588247511186,-7.128525680765633,9.631579,-0.279083
G0007,2.026315789473684,3.7350092993644216e-08,4.613041334096548e-08,-7.427708312548013,-7.336012653978418,9.631579,-0.279083
G0007,2.7894736842105265,2.7131671325571733e-08,3.354777119485918e-08,-7.566523452640302,-7.474336327653772,9.631579,-0.279083
G0007,3.5526315789473686,2.130338637415262e-08,2.6177747589939945e-08,-7.6715513558705375,-7.582067724146716,9.631579,-0.279083
G0007,4.315789473684211,1.75363241494549e-08,2.0134036609596627e-08,-7.75606143542323,-7.696069146048892,9.631579,-0.279083
G0007,5.078947368421053,1.4901332437878773e-08,1.4526635481791974e-08,-7.826774896383306,-7.837834961124722,9.631579,-0.279083
G0007,5.842105263157895,1.2954761984282e-08,1.5254840139338172e-08,-7.88757056182617,-7.816592339117417,9.631579,-0.279083
G0007,6.605263157894737,1.1457996655420732e-08,1.2566188535914866e-08,-7.940891308856569,-7.900796428664865,9.631579,-0.279083
G0007,7.36842105263158,1.0271275573252154e-08,1.3584185139969752e-08,-7.988375618717751,-7.8669664080247905,9.631579,-0.279083
G0007,8.131578947368421,9.307304726571534e-09,1.0762491030909107e-08,-8.031176066800366,-7.968087197464264,9.631579,-0.279083
G0007,8.894736842105264,8.508748995593503e-09,1.0214208343051598e-08,-8.070134287653186,-7.990795287922142,9.631579,-0.279083
G0007,9.657894736842106,7.83639553272644e-09,8.553286942812097e-09,-8.105883651627622,-8.067866958160334,9.631579,-0.279083
G0007,10.421052631578949,7.2625180820974835e-09,8.210024024734727e-09,-8.138912773301044,-8.085655572016435,9.631579,-0.279083
G0007,11.18421052631579,6.766958024730832e-09,8.046624204098217e-09,-8.169606517425843,-8.094386280753008,9.631579,-0.279083
G0007,11.947368421052632,6.3347074020057355e-09,6.462754455831156e-09,-8.198273440232635,-8.189582344232575,9.631579,-0.279083
G0007,12.710526315789474,5.954362651160671e-09,7.3032797409448124e-09,-8.225164718127044,-8.136482064054986,9.631579,-0.279083
G0007,13.473684210526317,5.617103829122272e-09,6.6162938987349676e-09,-8.250487548351362,-8.179385211471848,9.631579,-0.279083
G0007,14.23684210526316,5.316002145121264e-09,5.600433270157905e-09,-8.274414852482101,-8.251778373072385,9.631579,-0.279083
G0007,15.0,5.045538878088777e-09,4.652446240607124e-09,-8.297092443048022,-8.332318636476092,9.631579,-0.279083
G0008,0.5,1.619852902895928e-07,2.02860343813556e-07,-6.790524421482745,-6.692802842795162,9.778947,-0.115567
G0008,1.263157894736842,6.411917740629715e-08,7.407777351310325e-08,-7.193012057905503,-7.130312079316194,9.778947,-0.115567
G0008,2.026315789473684,3.99703963052242e-08,4.509527016563415e-08,-7.398261545702398,-7.345869006873399,9.778947,-0.115567
G0008,2.7894736842105265,2.9035099202851543e-08,3.375415342221198e-08,-7.537076685794686,-7.471672779948081,9.778947,-0.115567
G0008,3.5526315789473686,2.2797929744461212e-08,3.2294281086011634e-08,-7.642104589024922,-7.490874378990573,9.778947,-0.115567
G0008,4.315789473684211,1.8766588509160143e-08,2.223006886176725e-08,-7.726614668577613,-7.653059191991104,9.778947,-0.115567
G0008,5.078947368421053,1.5946738422291518e-08,1.9149021068562964e-08,-7.79732812953769,-7.71785342302111,9.778947,-0.115567
G0008,5.842105263157895,1.3863605925685871e-08,1.4141236955254881e-08,-7.858123794980554,-7.849512600486368,9.778947,-0.115567
G0008,6.605263157894737,1.2261834723116587e-08,1.7101157561431836e-08,-7.911444542010954,-7.766974491623781,9.778947,-0.115567
G0008,7.36842105263158,1.0991858983936654e-08,1.4313677092452916e-08,-7.958928851872135,-7.844248784421761,9.778947,-0.115567
G0008,8.131578947368421,9.960260567968491e-09,1.3156319636564533e-08,-8.00172929995475,-7.880865583752024,9.778947,-0.115567
G0008,8.894736842105264,9.105681998527404e-09,1.0891844149297024e-08,-8.040687520807571,-7.962898581579645,9.778947,-0.115567
G0008,9.657894736842106,8.386159442785458e-09,1.0919646618445325e-08,-8.076436884782005,-7.961791416039936,9.778947,-0.115567
G0008,10.421052631578949,7.772021503793593e-09,9.598810885288194e-09,-8.109466006455428,-8.01778256466295,9.778947,-0.115567
G0008,11.18421052631579,7.24169533059356e-09,9.157810116600951e-09,-8.140159750580228,-8.038208365631137,9.778947,-0.115567
G0008,11.947368421052632,6.779120078198817e-09,7.948028138222522e-09,-8.16882667338702,-8.099740604036663,9.778947,-0.115567
G0008,12.710526315789474,6.372092164600959e-09,6.5089604517668325e-09,-8.195717951281429,-8.186488367209325,9.778947,-0.115567
G0008,13.473684210526317,6.011172881840357e-09,7.911365617215299e-09,-8.221040781505748,-8.101748544463018,9.778947,-0.115567
G0008,14.23684210526316,5.688947348433018e-09,5.525490009503927e-09,-8.244968085636485,-8.25762920198905,9.778947,-0.115567
G0008,15.0,5.39950967631976e-09,6.274686022646874e-09,-8.267645676202408,-8.202408000849866,9.778947,-0.115567
G0009,0.5,1.7296429329810958e-07,2.0172021975906885e-07,-6.762043543253524,-6.695250567381341,9.926316,-0.292755
G0009,1.263157894736842,6.846503276383505e-08,7.322771114915862e-08,-7.164531179676283,-7.135324540229191,9.926316,-0.292755
G0009,2.026315789473684,4.2679500943689394e-08,5.3971928811453916e-08,-7.369780667473178,-7.267832061141701,9.926316,-0.292755
G0009,2.7894736842105265,3.1003033704378143e-08,3.617271616019824e-08,-7.508595807565466,-7.44161887943033,9.926316,-0.292755
G0009,3.5526315789473686,2.4343122760474684e-08,2.7727713401135312e-08,-7.613623710795702,-7.557085943556468,9.926316,-0.292755
G0009,4.315789473684211,2.0038546174780993e-08,2.5111649110950868e-08,-7.698133790348393,-7.600124765731177,9.926316,-0.292755
G0009,5.078947368421053,1.7027572915357938e-08,1.9316373615055623e-08,-7.768847251308469,-7.714074403117011,9.926316,-0.292755
G0009,5.842105263157895,1.4803250327315685e-08,2.0155716543939225e-08,-7.829642916751334,-7.695601757890622,9.926316,-0.292755
G0009,6.605263157894737,1.3092914632127817e-08,1.6139433194297452e-08,-7.882963663781734,-7.792111721467194,9.926316,-0.292755
G0009,7.36842105263158,1.1736862759514582e-08,1.3317564069397192e-08,-7.930447973642915,-7.875575205193125,9.926316,-0.292755
G0009,8.131578947368421,1.0635344895353018e-08,1.0319126459173537e-08,-7.97324842172553,-7.986357065307421,9.926316,-0.292755
G0009,8.894736842105264,9.722844889538704e-09,1.0110610540359926e-08,-8.01220664257835,-7.995222618266237,9.926316,-0.292755
G0009,9.657894736842106,8.95455469390758e-09,1.185025321783266e-08,-8.047956006552784,-7.926272369490797,9.926316,-0.292755
G0009,10.421052631578949,8.298791850161822e-09,9.829589529633051e-09,-8.080985128226208,-8.007464617339517,9.926316,-0.292755
G0009,11.18421052631579,7.7325213474449e-09,8.946605799841379e-09,-8.111678872351007,-8.048341697866851,9.926316,-0.292755
G0009,11.947368421052632,7.2385937723878475e-09,1.0091604754815241e-08,-8.140345795157799,-7.99603976728686,9.926316,-0.292755
G0009,12.710526315789474,6.8039784113128e-09,7.094351394077931e-09,-8.167237073052208,-8.149087304061215,9.926316,-0.292755
G0009,13.473684210526317,6.418596821609535e-09,7.2002316401288685e-09,-8.192559903276527,-8.142653531567131,9.926316,-0.292755
G0009,14.23684210526316,6.074531557604588e-09,6.893871702525e-09,-8.216487207407265,-8.16153680323209,9.926316,-0.292755
G0009,15.0,5.7654764432703194e-09,7.272008550960337e-09,-8.239164797973187,-8.138345619110524,9.926316,-0.292755
G0010,0.5,1.8430326361838117e-07,2.050917499158633e-07,-6.734466974282258,-6.6880518093443575,10.073684,0.300661
G0010,1.263157894736842,7.295337518227588e-08,8.160352140376098e-08,-7.136954610705016,-7.088291099907607,10.073684,0.300661
G0010,2.026315789473684,4.5477428685055096e-08,4.5798308961721655e-08,-7.34220409850191,-7.339150557414282,10.073684,0.300661
G0010,2.7894736842105265,3.3035490648577755e-08,4.2248677243601464e-08,-7.481019238594199,-7.374186883750919,10.073684,0.300661
G0010,3.5526315789473686,2.593897784258697e-08,3.341926356021981e-08,-7.586047141824435,-7.476003124617874,10.073684,0.300661
G0010,4.315789473684211,2.135220737042221e-08,2.422281580372133e-08,-7.670557221377127,-7.615775373292981,10.073684,0.300661
G0010,5.078947368421053,1.814384460491835e-08,2.1954081555159742e-08,-7.741270682337203,-7.658484726806889,10.073684,0.300661
G0010,5.842105263157895,1.5773702742113703e-08,1.642931235879612e-08,-7.802066347780068,-7.7843806133774756,10.073684,0.300661
G0010,6.605263157894737,1.3951243062745982e-08,1.5834259561998775e-08,-7.855387094810467,-7.800402240195861,10.073684,0.300661
G0010,7.36842105263158,1.2506292888390148e-08,1.70106833014024e-08,-7.902871404671648,-7.7692782408807695,10.073684,0.300661
G0010,8.131578947368421,1.1332563135110814e-08,1.3674893359614783e-08,-7.945671852754264,-7.864076051722972,10.073684,0.300661
G0010,8.894736842105264,1.0360242629435623e-08,1.5347732794773873e-08,-7.984630073607083,-7.813955770508737,10.073684,0.300661
G0010,9.657894736842106,9.541585854902564e-09,1.048246027952632e-08,-8.020379437581518,-7.979536774563814,10.073684,0.300661
G0010,10.421052631578949,8.842833355427378e-09,1.1146928016087769e-08,-8.053408559254942,-7.952844803421508,10.073684,0.300661
G0010,11.18421052631579,8.239440020586452e-09,9.618031980975765e-09,-8.08410230337974,-8.016913783184627,10.073684,0.300661
G0010,11.947368421052632,7.713132177861767e-09,9.709206874903897e-09,-8.112769226186533,-8.012816245264087,10.073684,0.300661
G0010,12.710526315789474,7.250024862834868e-09,8.624764719668144e-09,-8.139660504080942,-8.064252743482925,10.073684,0.300661
G0010,13.473684210526317,6.839378923338362e-09,7.691599528979801e-09,-8.16498333430526,-8.113983335832659,10.073684,0.300661
G0010,14.23684210526316,6.472757871994901e-09,7.051613746730899e-09,-8.188910638435999,-8.15171148427083,10.073684,0.300661
