galaxy,r_max_kpc,n_outer_points,f_DM_out,g_bar_out,g_obs_out
G0028,15.0,6,0.15263270638592796,1.7357656240734478e-08,2.048421784926704e-08
G0029,15.0,6,0.11559808107324565,1.8058905240493108e-08,2.0419341991487397e-08
G0030,15.0,6,0.12011239478795044,1.877403345832109e-08,2.1336854101719754e-08
G0031,15.0,6,0.22111173013039087,1.9503062552089258e-08,2.503961518813757e-08
G0032,15.0,6,0.17137365170804397,2.02459702391927e-08,2.443317217817854e-08
G0033,15.0,6,0.17423444719147052,2.100276405128872e-08,2.543429424956727e-08
G0034,15.0,6,0.16916892466181443,2.177344398837733e-08,2.6206824268717392e-08
G0035,15.0,6,0.1627425816417123,2.2558010050458526e-08,2.6942741331203437e-08
G0036,15.0,6,0.0733388263768463,2.3356451094573368e-08,2.5204952747995202e-08
G0037,15.0,6,0.2528573334244968,2.416880054959868e-08,3.2348307265565967e-08
G0038,15.0,6,0.17153511265122434,2.4995024986657647e-08,3.017028889014941e-08
G0039,15.0,6,0.11983179600124305,2.583511958954278e-08,2.935247998299569e-08
G0040,15.0,6,0.17142666402456797,2.6689132235753328e-08,3.221094751297269e-08
G0041,15.0,6,0.15275855888011936,2.7557003278901527e-08,3.252556112278547e-08
G0042,15.0,6,0.19791966610709777,2.843878398481937e-08,3.545627885774427e-08
G0043,15.0,6,0.1421225489360931,2.9334425031860694e-08,3.419419055190372e-08
G0044,15.0,6,0.1429033074737287,3.0243980233855754e-08,3.5286544094240254e-08
G0045,15.0,6,0.1541012260326894,3.1167407545862824e-08,3.684531589954435e-08
G0046,15.0,6,0.1284286320603889,3.210470235102806e-08,3.6835425682836926e-08
G0047,15.0,6,0.14658180999535564,3.3055903238065254e-08,3.873353488971844e-08
G0048,15.0,6,0.19014047968776426,3.4020986101850054e-08,4.200850301634226e-08
G0049,15.0,6,0.16822141763385645,3.4999958139674776e-08,4.207845559104336e-08
G0050,15.0,6,0.17865817990533883,3.599283598078702e-08,4.382199359657442e-08
G0051,15.0,6,0.16818553948611348,3.699958004274962e-08,4.448056844298145e-08
G0052,15.0,6,0.12193648508579324,3.8020210229704813e-08,4.3300068370816736e-08
G0053,15.0,6,0.07967889366750935,3.905472493243206e-08,4.243597659958751e-08
G0054,15.0,6,0.2461338773174595,4.010312897859295e-08,5.319661909715596e-08
G0055,15.0,6,0.14843154333754194,4.1165417540525885e-08,4.8340702639298084e-08
G0056,15.0,6,0.14173668043709664,4.224159222745142e-08,4.921752015333037e-08
G0057,15.0,6,0.13845108158043484,4.3331633592506924e-08,5.0295035680614574e-08
G0058,15.0,6,0.17429339508010266,4.443559997628026e-08,5.3815241045081624e-08
G0059,15.0,6,0.1616281497218307,4.555343303818356e-08,5.4335594668486377e-08
G0060,15.0,6,0.16128075715613988,4.668513083006293e-08,5.566240577927703e-08
G0061,15.0,6,0.1700238085390574,4.783073847995171e-08,5.762904884748438e-08
G0062,15.0,6,0.1337365673719234,4.899024897384898e-08,5.6553523014612306e-08
G0063,15.0,6,0.21294411723412654,5.0163626535722635e-08,6.37357875522606e-08
G0064,15.0,6,0.22977871150785778,5.1350890222588895e-08,6.667030759837636e-08
G0065,15.0,6,0.17140505091470282,5.255204003444771e-08,6.342307552376583e-08
G0066,15.0,6,0.1653325949120218,5.376707597129911e-08,6.441736629889337e-08
G0067,15.0,6,0.12572494747073726,5.4995998033143126e-08,6.290468643024944e-08
G0068,15.0,6,0.14102925525353238,5.6238806219979693e-08,6.547231854395582e-08
G0069,15.0,6,0.16569271243583694,5.7495500531808855e-08,6.891405767253006e-08
G0070,15.0,6,0.2012570725180678,5.8766080968630625e-08,7.357320978589814e-08
G0071,15.0,6,0.21608370258618415,6.005054753044501e-08,7.660326456862188e-08
G0072,15.0,6,0.15268810066228433,6.134890021725193e-08,7.240415278624561e-08
G0073,15.0,6,0.11491294847163169,6.266110779898409e-08,7.079654785456514e-08
G0074,15.0,6,0.15179041054476616,6.398726396584358e-08,7.543803413840164e-08
G0075,15.0,6,0.14183607124246933,6.532727502762827e-08,7.612447090640432e-08
G0076,15.0,6,0.17817516886287588,6.66811722144056e-08,8.113793802280432e-08
G0077,15.0,6,0.13148709882895893,6.804895552617545e-08,7.835111652852027e-08
G0078,15.0,6,0.14581899499414397,6.943062496293791e-08,8.128326965367476e-08
G0079,15.0,6,0.11007297835149021,7.082618052469295e-08,7.958650406355099e-08
G0080,15.0,6,0.169704563920686,7.223562221144058e-08,8.699990277260812e-08
G0081,15.0,6,0.1544781487474941,7.365895002318085e-08,8.711655401225509e-08
G0082,15.0,6,0.13739071439527384,7.509616395991368e-08,8.70569853734742e-08
G0083,15.0,6,0.10540341815140086,7.65472286527664e-08,8.556619844733679e-08
G0084,15.0,6,0.07122806584661234,7.801224258841848e-08,8.399504735199575e-08
G0085,15.0,6,0.159245546794474,7.949112252006761e-08,9.45473701828085e-08
G0086,15.0,6,0.16631993695975766,8.098388095677078e-08,9.714023946001649e-08
G0087,15.0,6,0.1707433795384542,8.249052551846657e-08,9.947526915438333e-08
G0088,15.0,6,0.12084688507161978,8.401102236006378e-08,9.555903395383829e-08
G0089,15.0,6,0.17763659323143133,8.554543730380298e-08,1.0402388603348613e-07
G0090,15.0,6,0.17560319923751688,8.709377595350932e-08,1.0564545601457507e-07
G0091,15.0,6,0.22103558884548602,8.865596501517542e-08,1.1381260009526902e-07
G0092,15.0,6,0.1469843617897768,9.023204020183412e-08,1.0578005391689747e-07
G0093,15.0,6,0.12470296864540864,9.182196206186025e-08,1.04903774116266e-07
G0094,15.0,6,0.14523969542032922,9.342579430693124e-08,1.0930057678903733e-07
G0095,15.0,6,0.10213281892545634,9.504352479612352e-08,1.0585477094995047e-07
G0096,15.0,6,0.13606547867866536,9.667520219839472e-08,1.1190107561686036e-07
G0097,15.0,6,0.16045040137259015,9.832065517668999e-08,1.1711119311763792e-07
G0098,15.0,6,0.1523800758166407,9.998005309412961e-08,1.1795387324154225e-07
G0099,15.0,6,0.1519882459769224,1.0165337800823738e-07,1.1987260497980197e-07
G0100,15.0,6,0.15823098907836686,1.0334048742455863e-07,1.227658491626029e-07
G0101,15.0,6,0.19672692117565915,1.0504159250642877e-07,1.307669773524169e-07
G0102,15.0,6,0.1940906402845759,1.067565289430134e-07,1.324671660107166e-07
G0103,15.0,6,0.16175589295033432,1.0848529503921165e-07,1.2941969305461986e-07
G0104,15.0,6,0.15492359358902574,1.1022806019116024e-07,1.304356142887683e-07
G0105,15.0,6,0.09563343414573122,1.1198460567338028e-07,1.2382656535693479e-07
G0106,15.0,6,0.2087173011770308,1.1375513593927748e-07,1.4376042356099525e-07
G0107,15.0,6,0.1879442056775107,1.1553950300082493e-07,1.4228025193419291e-07
G0108,15.0,6,0.17652321672893156,1.173377561873651e-07,1.424906670972172e-07
G0109,15.0,6,0.16369798328286178,1.1914983894468689e-07,1.424722606940536e-07
G0110,15.0,6,0.15808489520137503,1.2097592093542302e-07,1.4369135349384053e-07
G0111,15.0,6,0.20113099569613635,1.2281577014904364e-07,1.5373705762444194e-07
G0112,15.0,6,0.19052364271038646,1.2466963018345127e-07,1.540126886483568e-07
G0113,15.0,6,0.1795095602802672,1.2653725903883644e-07,1.5422149109020657e-07
G0114,15.0,6,0.1774937249683728,1.2841883164274051e-07,1.5613112694830507e-07
G0115,15.0,6,0.161343231267702,1.3031433999293818e-07,1.553845921853341e-07
G0116,15.0,6,0.1486446504111797,1.322236249853738e-07,1.5530956027848294e-07
G0117,15.0,6,0.1453023791702457,1.3414691049089234e-07,1.569524791243251e-07
G0118,15.0,6,0.11606581264997007,1.3608396449008783e-07,1.5395259787163295e-07
G0119,15.0,6,0.18296496186517952,1.3803502548881688e-07,1.6894627408382878e-07
G0120,15.0,6,0.1437071414678136,1.3999983729004735e-07,1.6349527605547e-07
G0121,15.0,6,0.15394573190193972,1.419786849867117e-07,1.6781274008094234e-07
G0122,15.0,6,0.17647157234578714,1.4397134392314798e-07,1.7482255510382864e-07
G0123,15.0,6,0.18738288904803357,1.459778270778562e-07,1.796391253770743e-07
G0124,15.0,6,0.1414779249313861,1.4799824448846035e-07,1.7238723241523195e-07
G0125,15.0,6,0.12288775974915744,1.5003256207188102e-07,1.710528655135102e-07
G0126,15.0,6,0.11486919512764471,1.520807640008451e-07,1.7181727623046253e-07
G0127,15.0,6,0.09782042076059816,1.5414285146946006e-07,1.708560634895027e-07
G0128,15.0,6,0.22882601213346554,1.5621890616661044e-07,2.025728416991769e-07
G0129,15.0,6,0.1790447818455525,1.5830876797799466e-07,1.9283483980268923e-07
G0130,15.0,6,0.15644328310810607,1.604125159143718e-07,1.9016209900552482e-07
G0131,15.0,6,0.18632177088306845,1.625301499757414e-07,1.99747448266045e-07
G0132,15.0,6,0.1599502425733912,1.6466167016210354e-07,1.960141869054575e-07
G0133,15.0,6,0.16787404198069655,1.6680707647345825e-07,2.0045892675972585e-07
G0134,15.0,6,0.14585159616267085,1.689663689098056e-07,1.9781851508556456e-07
G0135,15.0,6,0.224489677333503,1.711395474711457e-07,2.2067990904712058e-07
G0136,15.0,6,0.13435535381658903,1.733266085863553e-07,2.002283608528565e-07
G0137,15.0,6,0.16100204028704934,1.7552756296880336e-07,2.0921095330059828e-07
G0138,15.0,6,0.19668352094749308,1.7774239990512103e-07,2.212607416130241e-07
G0139,15.0,6,0.18416866130689713,1.799711229664315e-07,2.2059844287758174e-07
G0140,15.0,6,0.14910731451870807,1.8221373215273412e-07,2.1414419851272815e-07
G0141,15.0,6,0.1490178830173945,1.8447022746402975e-07,2.1677333022945348e-07
G0142,15.0,6,0.1588084650115854,1.8674051625044147e-07,2.219952394706556e-07
G0143,15.0,6,0.1785146113734517,1.8902487646159845e-07,2.3010132508580768e-07
G0144,15.0,6,0.16923242441428643,1.9132302405094155e-07,2.3029669148564645e-07
G0145,15.0,6,0.12954099483654258,1.936350699591376e-07,2.2245168217057647e-07
G0146,15.0,6,0.10703492604366138,1.959608995507031e-07,2.1944967979820965e-07
G0147,15.0,6,0.211318802822396,1.983008079566469e-07,2.5143341652659093e-07
G0148,15.0,6,0.19324330364587272,2.0065450614289054e-07,2.487174969227809e-07
G0149,15.0,6,0.07237943969087868,2.0302209045412675e-07,2.188632929680552e-07
G0150,15.0,6,0.19212045253992627,2.0540356089035556e-07,2.542502301687577e-07
G0151,15.0,6,0.1635178813226933,2.07798917451577e-07,2.484200353023212e-07
G0152,15.0,6,0.18711933386073865,2.1020816013779084e-07,2.585965799090347e-07
G0153,15.0,6,0.20243570880279882,2.1263128894899738e-07,2.6660081362196216e-07
G0154,15.0,6,0.11576057450311883,2.1506830388519643e-07,2.4322406090900435e-07
L000,15.0,6,0.13733659643934437,5.250689038709872e-13,6.08660227968125e-13
L001,15.0,6,0.17723650068312213,8.377833859793833e-13,1.0182554120047572e-12
L002,15.0,6,0.16034132262383372,1.223221922931704e-12,1.4568085293349522e-12
L003,15.0,6,0.22977357105999185,1.6813847121391792e-12,2.182974575999832e-12
L004,15.0,6,0.1631283765574264,2.212271753601808e-12,2.643501932233475e-12
L005,15.0,6,0.18786950066498775,2.815883047319594e-12,3.467279026739289e-12
L006,15.0,6,0.15318985735788637,3.492218593292535e-12,4.123968782892161e-12
L007,15.0,6,0.18030020346578668,4.24127839152063e-12,5.174184999744115e-12
L008,15.0,6,0.18323716286526803,5.0630624420038795e-12,6.198938310863285e-12
L009,15.0,6,0.11216004771425214,5.957567901694217e-12,6.710182264671051e-12
L010,15.0,6,0.1901441314726613,6.924803299735845e-12,8.550661381670386e-12
L011,15.0,6,0.19416086980829106,7.964760106984555e-12,9.883809073766052e-12
L012,15.0,6,0.10871040792019737,9.077441166488426e-12,1.0184614795407222e-11
L013,15.0,6,0.1993932056533797,1.0262846478247446e-11,1.281883510197164e-11
L014,15.0,6,0.18057889327497523,1.1520976042261629e-11,1.4059896612020945e-11
L015,15.0,6,0.11631601472662922,1.2851824247905717e-11,1.4543461760178849e-11
L016,15.0,6,0.2268025581601104,1.425540792705545e-11,1.8436956921550964e-11
L017,15.0,6,0.13397814164028787,1.5731710247835097e-11,1.8165488660565367e-11
L018,15.0,6,0.2095185579274218,1.728073682086989e-11,2.186102785102861e-11
L019,15.0,6,0.10466020721238933,1.8902478130557315e-11,2.1112071956173285e-11
