galaxy,delta_mass,rho_lag1,match_sep_arcsec,proxy_source,proxy_mode,match_radius_arcsec
IC7525,-0.1313,,2.1139894099260483,DELTA_3MPC,density,15.0
ESO3525,-0.8193,,3.2632149963335126,DELTA_3MPC,density,15.0
F1327,-0.639,,1.7002141111954336,DELTA_3MPC,density,15.0
CamB6669,1.1452,,1.266495522837237,DELTA_3MPC,density,15.0
NGC5056,0.6869,,2.350833347611792,DELTA_3MPC,density,15.0
UGC5617,-0.811,,1.9107537897030173,DELTA_3MPC,density,15.0
DDO0822,-0.4618,,1.3872897701349676,DELTA_3MPC,density,15.0
IC2533,-0.6912,,3.423837598706364,DELTA_3MPC,density,15.0
ESO6154,-0.2626,,3.291154341520978,DELTA_3MPC,density,15.0
F6666,-0.3796,,2.7736985567907615,DELTA_3MPC,density,15.0
CamB3509,-0.1134,,0.26049739304393416,DELTA_3MPC,density,15.0
NGC6447,0.9852,,3.4918912080963045,DELTA_3MPC,density,15.0
UGC6741,-0.156,,1.2368821225960056,DELTA_3MPC,density,15.0
DDO3130,-0.4994,,1.9642198300275855,DELTA_3MPC,density,15.0
IC7189,0.5399,,2.103951964949031,DELTA_3MPC,density,15.0
ESO2342,0.0215,,2.4166605940651924,DELTA_3MPC,density,15.0
F1954,-0.586,,1.8696627702431674,DELTA_3MPC,density,15.0
CamB5475,-0.6228,,2.948484243265129,DELTA_3MPC,density,15.0
NGC5112,-0.2891,,1.7017537917223882,DELTA_3MPC,density,15.0
UGC1161,-0.5831,,3.0046068747806194,DELTA_3MPC,density,15.0
DDO6670,-0.693,,1.1397643517988896,DELTA_3MPC,density,15.0
IC1639,0.7123,,1.6086237778225692,DELTA_3MPC,density,15.0
ESO6448,2.2111,,1.587111911609178,DELTA_3MPC,density,15.0
F0108,3.075,,2.808197201427209,DELTA_3MPC,density,15.0
CamB6384,-0.2535,,3.045432593232819,DELTA_3MPC,density,15.0
NGC6306,0.1999,,2.4460235180238494,DELTA_3MPC,density,15.0
UGC6253,-0.5235,,2.747856304767156,DELTA_3MPC,density,15.0
DDO5335,-0.2753,,1.4089546811215112,DELTA_3MPC,density,15.0
IC3798,-0.6363,,2.836979679236909,DELTA_3MPC,density,15.0
ESO5656,1.0792,,2.208486464280696,DELTA_3MPC,density,15.0
F2253,-0.3378,,1.474970389410933,DELTA_3MPC,density,15.0
CamB6256,0.8809,,3.2015685805171206,DELTA_3MPC,density,15.0
NGC4467,0.689,,2.7012434974442914,DELTA_3MPC,density,15.0
UGC3698,0.0593,,0.3120885685997673,DELTA_3MPC,density,15.0
DDO4069,0.1064,,1.9968801535670182,DELTA_3MPC,density,15.0
IC4571,-0.6465,,2.150409231554363,DELTA_3MPC,density,15.0
ESO0346,-0.6595,,1.0734153167481695,DELTA_3MPC,density,15.0
F1161,-0.8596,,1.8792636321327731,DELTA_3MPC,density,15.0
CamB2001,-0.6069,,1.3112549334247343,DELTA_3MPC,density,15.0
NGC0960,-0.621,,2.9505025296928227,DELTA_3MPC,density,15.0
UGC3544,0.6807,,1.7098427339593867,DELTA_3MPC,density,15.0
DDO5363,0.751,,1.9790797819436026,DELTA_3MPC,density,15.0
IC5252,-0.2551,,0.4829272756997335,DELTA_3MPC,density,15.0
ESO3795,0.2065,,1.8833054472261959,DELTA_3MPC,density,15.0
F6847,-0.6744,,3.07667493873157,DELTA_3MPC,density,15.0
CamB4543,-0.3718,,1.9974213661302516,DELTA_3MPC,density,15.0
NGC0679,-0.7994,,3.2562881580438443,DELTA_3MPC,density,15.0
UGC6131,-0.3488,,1.6275646417642105,DELTA_3MPC,density,15.0
DDO4618,-0.3077,,1.0989867913789086,DELTA_3MPC,density,15.0
IC5096,-0.7376,,2.5217376315885467,DELTA_3MPC,density,15.0
ESO4544,0.4772,,2.1890518195723194,DELTA_3MPC,density,15.0
F4450,-0.5661,,0.701590509869215,DELTA_3MPC,density,15.0
CamB0770,-0.8664,,2.829926742185696,DELTA_3MPC,density,15.0
NGC4495,-0.647,,1.1807347036323328,DELTA_3MPC,density,15.0
UGC6369,0.395,,1.1625696780802277,DELTA_3MPC,density,15.0
DDO2466,-0.8159,,2.148281575709962,DELTA_3MPC,density,15.0
IC4842,-0.1035,,0.8645091517954228,DELTA_3MPC,density,15.0
ESO0295,-0.6294,,2.7142951553374104,DELTA_3MPC,density,15.0
F2812,-0.5917,,1.9588074648733647,DELTA_3MPC,density,15.0
CamB3521,-0.6245,,0.8766034866438711,DELTA_3MPC,density,15.0
NGC7862,-0.5073,,2.8637547118122004,DELTA_3MPC,density,15.0
UGC1755,-0.5348,,2.0563503136124806,DELTA_3MPC,density,15.0
DDO2248,0.7047,,1.206088556929976,DELTA_3MPC,density,15.0
IC3297,0.4857,,1.0907815450847018,DELTA_3MPC,density,15.0
ESO7941,0.7091,,2.273562718850412,DELTA_3MPC,density,15.0
F6834,-0.1834,,2.811650537695198,DELTA_3MPC,density,15.0
CamB0325,-0.3008,,0.553260154052277,DELTA_3MPC,density,15.0
NGC1909,-0.0816,,2.219356054372576,DELTA_3MPC,density,15.0
UGC6582,0.2329,,3.366073631320031,DELTA_3MPC,density,15.0
DDO0513,-0.1895,,3.168901403585168,DELTA_3MPC,density,15.0
IC6852,-0.2568,,0.8234771329117906,DELTA_3MPC,density,15.0
ESO2287,1.078,,2.4192834190683694,DELTA_3MPC,density,15.0
F7345,-0.208,,2.4577373780045186,DELTA_3MPC,density,15.0
CamB2384,-0.0439,,0.3876372056583893,DELTA_3MPC,density,15.0
NGC3502,1.0275,,2.3857850048479827,DELTA_3MPC,density,15.0
UGC5312,3.5418,,2.381822214826264,DELTA_3MPC,density,15.0
DDO1053,-0.5831,,1.3371455808730928,DELTA_3MPC,density,15.0
IC4478,-0.358,,2.709378680115969,DELTA_3MPC,density,15.0
ESO4064,0.7735,,1.320491531590193,DELTA_3MPC,density,15.0
F6281,0.1821,,1.7640286132654184,DELTA_3MPC,density,15.0
CamB7969,-0.362,,1.1212552820510837,DELTA_3MPC,density,15.0
NGC5331,5.5024,,2.513811253865363,DELTA_3MPC,density,15.0
UGC3303,0.7638,,2.3279873754227043,DELTA_3MPC,density,15.0
DDO3280,-0.513,,1.4742877499701996,DELTA_3MPC,density,15.0
IC3372,-0.6046,,1.651000636747234,DELTA_3MPC,density,15.0
ESO6521,0.0221,,1.084194382297988,DELTA_3MPC,density,15.0
F2603,0.1514,,2.9826874788913047,DELTA_3MPC,density,15.0
CamB1377,-0.3279,,1.4460489669474481,DELTA_3MPC,density,15.0
NGC2707,-0.1414,,1.8409360538813737,DELTA_3MPC,density,15.0
UGC0230,0.1441,,1.7702464329296,DELTA_3MPC,density,15.0
DDO0893,-0.2599,,3.0710215650484542,DELTA_3MPC,density,15.0
IC0765,-0.1749,,1.846999956426374,DELTA_3MPC,density,15.0
ESO6183,-0.6724,,2.1795646807283817,DELTA_3MPC,density,15.0
F5792,1.4623,,0.8889548154298649,DELTA_3MPC,density,15.0
CamB5589,-0.6436,,3.26891697644628,DELTA_3MPC,density,15.0
