galaxy,r_kpc,vobs_kms,vobs_err_kms,vbar_kms
G0011,1.26315789,1706.04936464,0.0,1738.96449598
G0011,2.02631579,1835.83493972,0.0,1738.96449598
G0011,2.78947368,1961.69109255,0.0,1738.96449598
G0011,3.55263158,1849.93163116,0.0,1738.96449598
G0011,4.31578947,2026.42985512,0.0,1738.96449598
G0011,5.07894737,1992.46244605,0.0,1738.96449598
G0011,5.84210526,1882.91448416,0.0,1738.96449598
G0011,6.60526316,1852.56825830,0.0,1738.96449598
G0011,7.36842105,1802.04280278,0.0,1738.96449598
G0011,8.13157895,1830.96193931,0.0,1738.96449598
G0011,8.89473684,1757.61197304,0.0,1738.96449598
G0011,9.65789474,2011.62566070,0.0,1738.96449598
G0011,10.42105263,2048.27372300,0.0,1738.96449598
G0011,11.18421053,1778.19887542,0.0,1738.96449598
G0011,11.94736842,1785.26230584,0.0,1738.96449598
G0011,12.71052632,1729.59082998,0.0,1738.96449598
G0011,13.47368421,1805.92735506,0.0,1738.96449598
G0011,14.23684211,1602.67361195,0.0,1738.96449598
G0011,15.00000000,1789.00049931,0.0,1738.96449598
G0012,0.50000000,2081.62712107,0.0,1791.66052987
G0012,1.26315789,1921.07543938,0.0,1791.66052987
G0012,2.02631579,2038.39228954,0.0,1791.66052987
G0012,2.78947368,1907.06918792,0.0,1791.66052987
G0012,3.55263158,2126.95568197,0.0,1791.66052987
G0012,4.31578947,1974.33474231,0.0,1791.66052987
G0012,5.07894737,1917.52445474,0.0,1791.66052987
G0012,5.84210526,2204.34446096,0.0,1791.66052987
G0012,6.60526316,1923.14765948,0.0,1791.66052987
G0012,7.36842105,1835.49636376,0.0,1791.66052987
G0012,8.13157895,1974.59786866,0.0,1791.66052987
G0012,8.89473684,1951.06669543,0.0,1791.66052987
G0012,9.65789474,2059.08845050,0.0,1791.66052987
G0012,10.42105263,1864.77917120,0.0,1791.66052987
G0012,11.18421053,2033.51810334,0.0,1791.66052987
G0012,11.94736842,2038.21285620,0.0,1791.66052987
G0012,12.71052632,1889.60070933,0.0,1791.66052987
G0012,13.47368421,1970.81853325,0.0,1791.66052987
G0012,14.23684211,1873.66225897,0.0,1791.66052987
G0012,15.00000000,2184.14917163,0.0,1791.66052987
G0013,0.50000000,1941.50944896,0.0,1844.35599157
G0013,1.26315789,1966.77110037,0.0,1844.35599157
G0013,2.02631579,1905.11610027,0.0,1844.35599157
G0013,2.78947368,1977.53250632,0.0,1844.35599157
G0013,3.55263158,2011.76727740,0.0,1844.35599157
G0013,4.31578947,2089.61186108,0.0,1844.35599157
G0013,5.07894737,1950.93261111,0.0,1844.35599157
G0013,5.84210526,1993.66632067,0.0,1844.35599157
G0013,6.60526316,1869.83428940,0.0,1844.35599157
G0013,7.36842105,1929.10701536,0.0,1844.35599157
G0013,8.13157895,2289.64215075,0.0,1844.35599157
G0013,8.89473684,2117.12624096,0.0,1844.35599157
G0013,9.65789474,1933.73324497,0.0,1844.35599157
G0013,10.42105263,1877.79237494,0.0,1844.35599157
G0013,11.18421053,1914.19739040,0.0,1844.35599157
G0013,11.94736842,2010.17602173,0.0,1844.35599157
G0013,12.71052632,2015.85274904,0.0,1844.35599157
G0013,13.47368421,1937.46249149,0.0,1844.35599157
G0013,14.23684211,1882.90605711,0.0,1844.35599157
G0013,15.00000000,2155.47528556,0.0,1844.35599157
G0014,0.50000000,2116.60062596,0.0,1897.05173045
G0014,1.26315789,2031.08940402,0.0,1897.05173045
G0014,2.02631579,2047.01763912,0.0,1897.05173045
G0014,2.78947368,2015.05191912,0.0,1897.05173045
G0014,3.55263158,1765.99512917,0.0,1897.05173045
G0014,4.31578947,2081.82462596,0.0,1897.05173045
G0014,5.07894737,1959.06091197,0.0,1897.05173045
G0014,5.84210526,1966.08393963,0.0,1897.05173045
G0014,6.60526316,2003.59196843,0.0,1897.05173045
G0014,7.36842105,2145.64236730,0.0,1897.05173045
G0014,8.13157895,1948.71304726,0.0,1897.05173045
G0014,8.89473684,1921.41677406,0.0,1897.05173045
G0014,9.65789474,2136.07450232,0.0,1897.05173045
G0014,10.42105263,2147.92616088,0.0,1897.05173045
G0014,11.18421053,1970.61180747,0.0,1897.05173045
G0014,11.94736842,2128.05853574,0.0,1897.05173045
G0014,12.71052632,2039.67263401,0.0,1897.05173045
G0014,13.47368421,2101.03601637,0.0,1897.05173045
G0014,14.23684211,1939.35425496,0.0,1897.05173045
G0014,15.00000000,2156.05298336,0.0,1897.05173045
G0015,0.50000000,2255.33809836,0.0,1949.74822369
G0015,1.26315789,2195.11432689,0.0,1949.74822369
G0015,2.02631579,2186.73966370,0.0,1949.74822369
G0015,2.78947368,1726.10286793,0.0,1949.74822369
G0015,3.55263158,2155.07296632,0.0,1949.74822369
G0015,4.31578947,2124.64387067,0.0,1949.74822369
G0015,5.07894737,2111.70955985,0.0,1949.74822369
G0015,5.84210526,2060.27740815,0.0,1949.74822369
G0015,6.60526316,2133.23946108,0.0,1949.74822369
G0015,7.36842105,2171.18633280,0.0,1949.74822369
G0015,8.13157895,2099.29193315,0.0,1949.74822369
G0015,8.89473684,2078.06778563,0.0,1949.74822369
G0015,9.65789474,2258.15629061,0.0,1949.74822369
G0015,10.42105263,2009.77526661,0.0,1949.74822369
G0015,11.18421053,2236.92548087,0.0,1949.74822369
G0015,11.94736842,2146.15752943,0.0,1949.74822369
G0015,12.71052632,2041.79842808,0.0,1949.74822369
G0015,13.47368421,2096.50577043,0.0,1949.74822369
G0015,14.23684211,2029.49298679,0.0,1949.74822369
G0015,15.00000000,2199.15536547,0.0,1949.74822369
G0016,0.50000000,2222.85197871,0.0,2002.44412162
G0016,1.26315789,2124.02067791,0.0,2002.44412162
G0016,2.02631579,2064.43750017,0.0,2002.44412162
G0016,2.78947368,2217.80654917,0.0,2002.44412162
G0016,3.55263158,2289.43340742,0.0,2002.44412162
G0016,4.31578947,2172.41063658,0.0,2002.44412162
G0016,5.07894737,2230.54818082,0.0,2002.44412162
G0016,5.84210526,2143.76830539,0.0,2002.44412162
G0016,6.60526316,2192.22780016,0.0,2002.44412162
G0016,7.36842105,2153.02596261,0.0,2002.44412162
G0016,8.13157895,2216.96822902,0.0,2002.44412162
G0016,8.89473684,2019.91533265,0.0,2002.44412162
G0016,9.65789474,2255.21925013,0.0,2002.44412162
G0016,10.42105263,2159.72802585,0.0,2002.44412162
G0016,11.18421053,2224.02156037,0.0,2002.44412162
G0016,11.94736842,2147.67011583,0.0,2002.44412162
G0016,12.71052632,2219.84338269,0.0,2002.44412162
G0016,13.47368421,2067.67713521,0.0,2002.44412162
G0016,14.23684211,2314.75236926,0.0,2002.44412162
G0016,15.00000000,1998.74722183,0.0,2002.44412162
G0017,0.50000000,2125.82588102,0.0,2055.14001956
G0017,1.26315789,2268.76454115,0.0,2055.14001956
G0017,2.02631579,2406.35200055,0.0,2055.14001956
G0017,2.78947368,2273.52505998,0.0,2055.14001956
G0017,3.55263158,2214.54755955,0.0,2055.14001956
G0017,4.31578947,2082.56534246,0.0,2055.14001956
G0017,5.07894737,2220.89695267,0.0,2055.14001956
G0017,5.84210526,2240.11378767,0.0,2055.14001956
G0017,6.60526316,2431.88402352,0.0,2055.14001956
G0017,7.36842105,2312.09322713,0.0,2055.14001956
G0017,8.13157895,2070.90485602,0.0,2055.14001956
G0017,8.89473684,2469.57896989,0.0,2055.14001956
G0017,9.65789474,2198.05497240,0.0,2055.14001956
G0017,10.42105263,2143.73985308,0.0,2055.14001956
G0017,11.18421053,2407.69520475,0.0,2055.14001956
G0017,11.94736842,2236.76386845,0.0,2055.14001956
G0017,12.71052632,2201.15022061,0.0,2055.14001956
G0017,13.47368421,2266.87199518,0.0,2055.14001956
G0017,14.23684211,2337.06883512,0.0,2055.14001956
G0017,15.00000000,2353.71233234,0.0,2055.14001956
G0018,0.50000000,2141.70114093,0.0,2107.83591750
G0018,1.26315789,2529.64750949,0.0,2107.83591750
G0018,2.02631579,2408.71972547,0.0,2107.83591750
G0018,2.78947368,2256.23324205,0.0,2107.83591750
G0018,3.55263158,2205.69903431,0.0,2107.83591750
G0018,4.31578947,2188.40970331,0.0,2107.83591750
G0018,5.07894737,2314.02582110,0.0,2107.83591750
G0018,5.84210526,2225.32166374,0.0,2107.83591750
G0018,6.60526316,2211.88397637,0.0,2107.83591750
G0018,7.36842105,2393.12599581,0.0,2107.83591750
G0018,8.13157895,2341.76059529,0.0,2107.83591750
G0018,8.89473684,2254.46579373,0.0,2107.83591750
G0018,9.65789474,2384.27083541,0.0,2107.83591750
G0018,10.42105263,2457.07578496,0.0,2107.83591750
G0018,11.18421053,2173.98007145,0.0,2107.83591750
G0018,11.94736842,2230.46460929,0.0,2107.83591750
G0018,12.71052632,2408.23218875,0.0,2107.83591750
G0018,13.47368421,2382.51065068,0.0,2107.83591750
G0018,14.23684211,2325.90683392,0.0,2107.83591750
G0018,15.00000000,2433.50733660,0.0,2107.83591750
G0019,0.50000000,2229.07031643,0.0,2160.53126618
G0019,1.26315789,2182.99314153,0.0,2160.53126618
G0019,2.02631579,2255.20188195,0.0,2160.53126618
G0019,2.78947368,2371.77812547,0.0,2160.53126618
G0019,3.55263158,2263.50212449,0.0,2160.53126618
G0019,4.31578947,2299.90745325,0.0,2160.53126618
G0019,5.07894737,2242.41419676,0.0,2160.53126618
G0019,5.84210526,2284.20631197,0.0,2160.53126618
G0019,6.60526316,2238.90328921,0.0,2160.53126618
G0019,7.36842105,2400.64628949,0.0,2160.53126618
G0019,8.13157895,2451.02545297,0.0,2160.53126618
G0019,8.89473684,2300.70567220,0.0,2160.53126618
G0019,9.65789474,2332.90451778,0.0,2160.53126618
G0019,10.42105263,2288.84985642,0.0,2160.53126618
G0019,11.18421053,2419.95109021,0.0,2160.53126618
G0019,11.94736842,2367.83099830,0.0,2160.53126618
G0019,12.71052632,2545.23228927,0.0,2160.53126618
G0019,13.47368421,2228.21456785,0.0,2160.53126618
G0019,14.23684211,2400.06123372,0.0,2160.53126618
G0019,15.00000000,2409.66606254,0.0,2160.53126618
G0020,0.50000000,2371.31012247,0.0,2213.22771337
G0020,1.26315789,2485.28700528,0.0,2213.22771337
G0020,2.02631579,2241.14081546,0.0,2213.22771337
G0020,2.78947368,2670.65769194,0.0,2213.22771337
G0020,3.55263158,2252.78973856,0.0,2213.22771337
G0020,4.31578947,2525.88913138,0.0,2213.22771337
G0020,5.07894737,2279.46416733,0.0,2213.22771337
G0020,5.84210526,2553.78956900,0.0,2213.22771337
G0020,6.60526316,2368.37201598,0.0,2213.22771337
G0020,7.36842105,2433.95843435,0.0,2213.22771337
G0020,8.13157895,2421.27101887,0.0,2213.22771337
G0020,8.89473684,2547.73451069,0.0,2213.22771337
G0020,9.65789474,2376.00608834,0.0,2213.22771337
G0020,10.42105263,2056.56796967,0.0,2213.22771337
G0020,11.18421053,2323.05956672,0.0,2213.22771337
G0020,11.94736842,2437.01191664,0.0,2213.22771337
G0020,12.71052632,2361.64741677,0.0,2213.22771337
G0020,13.47368421,2507.77954575,0.0,2213.22771337
G0020,14.23684211,2537.42232853,0.0,2213.22771337
G0020,15.00000000,2396.98802166,0.0,2213.22771337
G0021,0.50000000,2288.18170600,0.0,2265.92361131
G0021,1.26315789,2643.43155198,0.0,2265.92361131
G0021,2.02631579,2606.20924630,0.0,2265.92361131
G0021,2.78947368,2435.34126711,0.0,2265.92361131
G0021,3.55263158,2732.94500142,0.0,2265.92361131
G0021,4.31578947,2429.19947416,0.0,2265.92361131
G0021,5.07894737,2331.75962848,0.0,2265.92361131
G0021,5.84210526,2453.05767220,0.0,2265.92361131
G0021,6.60526316,2605.56399580,0.0,2265.92361131
G0021,7.36842105,2356.44163669,0.0,2265.92361131
G0021,8.13157895,2713.52941191,0.0,2265.92361131
G0021,8.89473684,2361.50090953,0.0,2265.92361131
G0021,9.65789474,2590.30832927,0.0,2265.92361131
G0021,10.42105263,2539.63059951,0.0,2265.92361131
G0021,11.18421053,2453.28220567,0.0,2265.92361131
G0021,11.94736842,2605.89766876,0.0,2265.92361131
G0021,12.71052632,2286.92658085,0.0,2265.92361131
G0021,13.47368421,2640.14418355,0.0,2265.92361131
G0021,14.23684211,2464.45378610,0.0,2265.92361131
G0021,15.00000000,2405.27232747,0.0,2265.92361131
G0022,0.50000000,2624.58598236,0.0,2318.61950925
G0022,1.26315789,2663.88992704,0.0,2318.61950925
G0022,2.02631579,2627.19440386,0.0,2318.61950925
G0022,2.78947368,2782.74157872,0.0,2318.61950925
G0022,3.55263158,2666.52436522,0.0,2318.61950925
G0022,4.31578947,2692.17430215,0.0,2318.61950925
G0022,5.07894737,2461.53414141,0.0,2318.61950925
G0022,5.84210526,2543.29643855,0.0,2318.61950925
G0022,6.60526316,2601.03441786,0.0,2318.61950925
G0022,7.36842105,2527.57789298,0.0,2318.61950925
G0022,8.13157895,2567.97630251,0.0,2318.61950925
G0022,8.89473684,2583.72059145,0.0,2318.61950925
G0022,9.65789474,2636.61147536,0.0,2318.61950925
G0022,10.42105263,2516.96950712,0.0,2318.61950925
G0022,11.18421053,2485.57563836,0.0,2318.61950925
G0022,11.94736842,2425.04756508,0.0,2318.61950925
G0022,12.71052632,2417.02591958,0.0,2318.61950925
G0022,13.47368421,2678.12678109,0.0,2318.61950925
G0022,14.23684211,2519.13091160,0.0,2318.61950925
G0022,15.00000000,2629.36359358,0.0,2318.61950925
G0023,0.50000000,2419.48343843,0.0,2371.31540771
G0023,1.26315789,2336.58521568,0.0,2371.31540771
G0023,2.02631579,2451.60144982,0.0,2371.31540771
G0023,2.78947368,2735.65252012,0.0,2371.31540771
G0023,3.55263158,2725.49088944,0.0,2371.31540771
G0023,4.31578947,2630.27256035,0.0,2371.31540771
G0023,5.07894737,2483.54461873,0.0,2371.31540771
G0023,5.84210526,2570.39668358,0.0,2371.31540771
G0023,6.60526316,2548.79803186,0.0,2371.31540771
G0023,7.36842105,2542.69029672,0.0,2371.31540771
G0023,8.13157895,2263.11809490,0.0,2371.31540771
G0023,8.89473684,2476.33166287,0.0,2371.31540771
G0023,9.65789474,2562.72447898,0.0,2371.31540771
G0023,10.42105263,2783.49213790,0.0,2371.31540771
G0023,11.18421053,2608.11275679,0.0,2371.31540771
G0023,11.94736842,2768.54526554,0.0,2371.31540771
G0023,12.71052632,2536.38583532,0.0,2371.31540771
G0023,13.47368421,2554.62879878,0.0,2371.31540771
G0023,14.23684211,2082.86586732,0.0,2371.31540771
G0023,15.00000000,2647.25723390,0.0,2371.31540771
G0024,0.50000000,2717.16235745,0.0,2424.01130512
G0024,1.26315789,2878.05478084,0.0,2424.01130512
G0024,2.02631579,2580.44439875,0.0,2424.01130512
G0024,2.78947368,2657.26505478,0.0,2424.01130512
G0024,3.55263158,2551.51453093,0.0,2424.01130512
G0024,4.31578947,2489.26498287,0.0,2424.01130512
G0024,5.07894737,2550.51214482,0.0,2424.01130512
G0024,5.84210526,2599.19119598,0.0,2424.01130512
G0024,6.60526316,2824.05811969,0.0,2424.01130512
G0024,7.36842105,2645.10650693,0.0,2424.01130512
G0024,8.13157895,2540.27184234,0.0,2424.01130512
G0024,8.89473684,2663.57606668,0.0,2424.01130512
G0024,9.65789474,2673.58583188,0.0,2424.01130512
G0024,10.42105263,2555.38864115,0.0,2424.01130512
G0024,11.18421053,2795.99606056,0.0,2424.01130512
G0024,11.94736842,2395.09745980,0.0,2424.01130512
G0024,12.71052632,2616.57475149,0.0,2424.01130512
