galaxy,f_gas,logMgas,logMstar,V_gas_flat_kms,logV_gas,slope_gas,intercept_gas,p_valor_gas,r2_gas,n_puntos_gas,reliable_gas,beta,reliable
F563-V2,0.3336858804865151,8.800029359244133,9.100370545117563,85.0,1.9294189257142929,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.517,True
F568-3,0.2841726618705036,9.198657086954423,9.599883072073688,101.0,2.0043213737826426,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.535,True
F571-8,0.28458049886621317,9.399673721481038,9.800029359244135,110.0,2.041392685158225,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.541,True
F574-1,0.2849002849002849,9.0,9.399673721481038,95.0,1.9777236052888478,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.527,True
F583-1,0.30819785541335176,8.949877704036874,9.301029995663981,92.0,1.9637878273455553,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.524,True
IC2574,0.7598086124401914,8.899820502427096,8.399673721481038,55.0,1.7403626894942439,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.51,True
NGC0024,0.2850678733031674,9.100370545117563,9.499687082618404,98.0,1.9912260756924949,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.533,True
NGC0055,0.33445661331086773,8.899820502427096,9.198657086954423,90.0,1.9542425094393248,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.519,True
NGC0100,0.3336858804865151,8.800029359244133,9.100370545117563,85.0,1.9294189257142929,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.515,True
NGC0247,0.2849002849002849,9.0,9.399673721481038,95.0,1.9777236052888478,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.528,True
NGC0300,0.30819785541335176,8.949877704036874,9.301029995663981,92.0,1.9637878273455553,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.525,True
NGC0801,0.03834449178332319,9.100370545117563,10.499687082618404,150.0,2.1760912590556813,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.558,True
NGC1003,0.2841726618705036,9.198657086954423,9.599883072073688,101.0,2.0043213737826426,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.537,True
NGC2366,0.7991085641515441,8.399673721481038,7.800029359244134,38.0,1.5797835966168101,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.502,True
NGC2403,0.28458049886621317,9.399673721481038,9.800029359244135,135.0,2.130333768495006,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.543,True
NGC2841,0.038241355621708266,9.699837725867246,11.100370545117563,320.0,2.505149978319906,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.574,True
NGC2903,0.03818269695505075,9.198657086954423,10.599883072073688,185.0,2.2671717284030137,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.561,True
NGC2976,0.3336858804865151,8.800029359244133,9.100370545117563,85.0,1.9294189257142929,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.516,True
NGC3109,0.7997465145754119,8.800029359244133,8.198657086954423,67.0,1.8260748027008264,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.497,True
NGC3198,0.038184091564874484,8.899820502427096,10.301029995663981,153.0,2.184691430817599,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.553,True
NGC3521,0.03825636335924402,9.399673721481038,10.800029359244135,230.0,2.361727836017593,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.567,True
NGC3741,0.8338848444738584,8.100370545117563,7.399673721481038,50.0,1.6989700043360187,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.492,True
NGC4736,0.038314176245210725,9.0,10.399673721481038,170.0,2.230448921378274,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.556,True
NGC5055,0.03838771593090211,9.301029995663981,10.699837725867246,200.0,2.3010299956639813,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.564,True
NGC6503,0.28530670470756064,9.301029995663981,9.699837725867246,116.0,2.0644579892269186,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.539,True
NGC7331,0.038461538461538464,9.602059991327963,11.0,245.0,2.3891660843645326,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.571,True
UGC0128,0.33377748167888077,8.699837725867246,9.0,80.0,1.9030899869919435,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.512,True
UGC1281,0.386748844375963,8.399673721481038,8.599883072073688,60.0,1.7781512503836436,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.508,True
UGC2259,0.33445661331086773,8.899820502427096,9.198657086954423,90.0,1.9542425094393248,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.52,True
UGC4325,0.2849002849002849,9.0,9.399673721481038,95.0,1.9777236052888478,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.526,True
