Galaxy,RA,DEC,T,D,e_D,Inc,e_Inc,L36,e_L36,Re,MHI,Vflat,e_Vflat,Q,Ref
UGC1161,34.008001,-45.947572,-2,146.71,14.19,40.9,9.0,982083015.4,971826602.4,23.53,1900768197.1,164.1,20.6,1,10
DDO6670,268.84426,-49.474919,-1,62.32,14.8,59.5,2.3,43280359485.1,1036483912.8,28.19,49208188.3,148.5,5.3,2,8
IC1639,94.485786,18.943594,-2,119.26,6.41,50.2,8.9,1315775400.6,7616595424.6,21.99,5216456122.7,252.6,28.2,3,4
ESO6448,337.252734,-9.767004,4,13.64,17.81,46.0,1.9,4957169077.0,129639385.8,13.52,316686060.8,144.5,27.1,1,11
F0108,86.749407,32.91857,1,83.76,11.92,54.6,2.4,647180412.7,188471333.1,26.36,1854724646.6,182.6,7.2,1,18
CamB6384,44.192856,20.54777,4,120.51,2.61,32.2,5.8,303224953.2,2731296722.5,16.06,3541527139.2,198.4,11.1,1,10
NGC6306,299.200562,-19.963469,4,138.78,2.96,84.3,1.6,21121449060.7,329068979.4,22.47,9919409805.7,55.5,18.5,1,7
UGC6253,55.182354,47.803986,6,123.56,13.89,73.2,1.5,3088669478.7,1620762125.3,24.7,46971777.7,178.8,22.1,1,3
DDO5335,64.536591,31.503858,4,6.51,3.54,68.2,1.0,4068775907.6,239402341.3,22.61,72556653.0,136.2,14.4,2,8
IC3798,215.777805,-27.535807,5,56.53,10.2,50.5,4.9,78749510048.7,44308334.5,8.99,56402617.7,155.3,6.4,2,5
ESO5656,314.842335,-16.296958,4,8.26,19.84,29.9,8.0,77757043016.6,1720329071.0,3.98,61463034.3,75.1,4.9,2,19
F2253,70.71648,-22.267202,5,17.28,0.18,79.8,1.3,36891504349.8,24743749.3,7.53,558900148.0,245.7,30.0,3,11
CamB6256,111.716522,-41.086602,5,101.62,0.43,42.2,6.9,365449926.0,39423119.9,15.33,9562414596.8,285.6,14.7,2,3
NGC4467,279.865742,-42.265995,1,107.28,19.86,23.3,8.4,6064822333.4,759407616.1,15.41,9350487657.2,55.6,26.4,1,2
UGC3698,349.857513,52.335296,0,116.28,11.73,42.3,2.5,43096527068.0,1745056129.6,17.69,380469365.5,200.3,15.5,2,17
DDO4069,180.266827,-7.451516,7,129.95,2.63,71.6,2.3,1328592539.3,4831296159.0,12.16,826193227.8,241.0,27.8,1,18
IC4571,51.803101,-14.001621,1,111.18,17.96,60.5,8.7,201056675.8,65729373.4,23.71,3801120444.3,121.2,4.5,3,15
ESO0346,5.017064,27.562285,4,120.33,17.62,68.8,8.4,27094972010.7,21486851.2,27.44,6292168951.2,246.9,5.2,1,3
F1161,82.676171,6.359168,-1,8.3,10.77,71.6,5.9,2787986420.4,7381421042.7,7.78,40886683.3,208.1,28.0,1,2
CamB2001,47.455998,52.336798,2,35.95,12.47,33.8,8.4,4933760243.4,29058237.2,22.23,385145818.2,282.3,28.5,3,4
NGC0960,243.957123,33.636179,3,93.66,5.54,80.0,1.8,88396056119.7,39174273.1,20.5,3151455390.6,295.3,10.8,2,15
UGC3544,43.859702,-2.475652,5,128.86,1.11,48.5,4.6,6631843842.3,74814944.9,15.93,81209386.6,60.6,11.9,1,15
DDO5363,182.278775,-14.836863,3,1.67,11.93,61.5,7.6,1883380879.3,387412886.1,6.06,208654198.3,161.2,14.7,3,16
IC5252,249.934477,58.395785,1,77.68,5.97,20.2,3.3,1288110450.0,4451195795.7,23.96,9054475637.6,186.7,13.7,1,2
ESO3795,209.201979,26.131228,9,101.92,13.31,84.6,7.8,1790019977.6,1912661289.3,28.84,9018620038.8,86.7,7.3,3,3
F6847,71.919235,54.143359,3,5.41,16.74,38.3,5.5,226567310.6,1331903197.5,21.79,5227817669.5,134.1,27.2,3,18
CamB4543,289.484829,-45.782571,7,60.8,0.46,24.0,7.8,24224324485.9,33538350.8,27.58,2485106667.0,296.9,9.1,2,18
NGC0679,257.546567,42.064042,6,134.45,11.95,49.8,5.2,32594969167.2,118317203.0,29.53,64178786.7,54.1,21.7,2,14
UGC6131,266.034241,16.448866,4,101.07,4.7,28.4,4.3,713167270.3,272404814.0,10.89,91738201.6,163.1,3.9,2,3
DDO4618,47.180791,-45.369399,8,36.41,17.49,29.9,3.0,815435951.9,27687124.9,19.33,438377770.5,260.7,3.1,2,2
IC5096,44.551369,10.59096,-2,128.06,5.15,61.1,2.9,41976166032.8,66113341.3,14.48,481207207.6,131.0,20.3,1,2
ESO4544,333.922518,22.331564,8,52.86,12.25,45.5,7.8,118007895.8,84139439.0,29.61,328479641.5,169.9,11.5,1,14
F4450,143.12815,-58.523678,8,128.15,11.12,79.9,2.1,3642271631.8,24089544.9,3.27,812850804.2,294.5,20.4,1,17
CamB0770,108.341529,-5.481845,3,45.54,7.98,40.7,1.8,2460521385.6,447423793.6,12.67,167868445.2,168.7,4.6,3,13
NGC4495,175.890256,39.047941,6,88.96,13.58,67.2,2.6,11759268553.8,1303420627.1,26.33,1768163706.5,82.7,28.6,1,5
UGC6369,238.631117,-24.556917,3,60.14,14.54,50.0,2.6,309154164.0,16210443.4,8.88,100149729.2,62.9,23.0,2,15
DDO2466,344.024373,-4.97423,0,41.95,11.38,62.9,8.4,10115613384.3,277567941.9,23.74,98181800.2,286.4,26.5,3,2
IC4842,103.120642,-6.922305,7,133.1,15.19,59.0,4.6,1349590534.5,2221434875.5,11.79,24081186.8,116.5,5.8,3,16
ESO0295,332.931035,-23.768713,0,28.95,19.67,50.7,9.9,7180328844.6,1753760914.5,29.41,36824480.6,176.0,11.0,1,17
F2812,8.949417,50.213027,1,13.64,8.44,81.8,2.2,131912220.1,2787528322.2,26.56,3560923442.8,72.7,12.3,1,14
CamB3521,199.871295,33.755284,3,51.95,10.34,42.3,6.9,2427624945.7,221167800.8,9.39,218196116.0,155.9,17.0,3,17
NGC7862,228.23104,-46.729391,7,107.93,0.35,31.5,5.0,3687675364.0,2895151187.5,23.22,48261782.7,282.5,10.3,1,12
UGC1755,38.123065,59.644159,1,121.31,15.94,64.1,4.5,439520573.3,52754463.9,10.44,1896807682.9,175.6,3.7,1,9
DDO2248,50.522255,45.504003,3,149.81,10.45,75.0,8.9,262343895.2,120901498.7,18.39,459138147.3,292.8,12.3,3,7
IC3297,150.881155,-25.930987,-3,45.16,8.22,22.6,9.8,367640128.3,33811678.4,19.93,11573588.4,114.7,9.1,3,18
ESO7941,347.843488,40.42759,-2,61.78,1.97,49.2,8.9,1077514775.6,252611791.2,24.97,88937388.3,176.1,12.8,3,14
F6834,214.575319,-47.229656,-3,21.39,17.8,78.0,2.7,195177813.3,150030676.4,1.22,33962858.3,264.9,7.5,3,4
CamB0325,335.88836,59.892568,-3,86.66,7.96,68.7,3.0,69495932580.8,52817926.7,6.99,928150884.7,162.1,9.3,1,19
NGC1909,289.56993,19.882168,8,149.64,13.68,84.5,6.9,1640522474.7,1800288584.6,21.5,66848724.0,119.9,19.6,1,2
UGC6582,168.257377,18.015002,7,105.43,3.07,54.5,3.6,26724451938.6,87405812.9,17.12,15661751.8,263.9,12.9,1,12
DDO0513,282.514842,-49.147113,7,89.69,19.23,62.9,7.6,83801418377.6,65828353.2,15.12,14615206.9,147.5,11.7,1,4
IC6852,6.421242,47.644008,-3,59.46,3.65,39.7,6.1,174664980.6,24698523.6,2.13,556137133.3,182.7,16.9,3,13
ESO2287,39.291839,-56.52006,-2,137.38,4.07,81.6,6.0,9015885836.1,207235954.3,10.77,11619043.2,294.1,23.6,1,8
F7345,298.594301,-31.100633,0,75.04,17.19,43.8,8.5,41136492630.1,81076293.6,26.02,3518652185.0,96.6,12.6,2,9
CamB2384,286.854152,-42.837375,4,21.02,18.26,68.0,7.4,7992880167.5,128179485.5,1.41,29254410.9,125.4,18.5,3,13
NGC3502,83.750667,33.212153,1,55.44,4.32,46.2,1.2,1936771403.3,51049534.7,12.19,660235703.0,57.8,29.1,3,15
UGC5312,191.077053,-36.215493,3,11.01,9.45,56.5,1.4,1964396143.8,1947450687.5,28.38,215806282.7,148.0,16.6,1,8
DDO1053,218.165695,49.276587,-1,31.09,14.7,66.8,6.4,128143522.5,6166092593.7,2.0,213085826.7,100.0,27.5,2,19
IC4478,312.386023,18.752285,6,3.63,17.58,53.1,5.4,4016079061.7,311742173.0,22.62,16420690.9,220.0,24.2,2,10
ESO4064,217.118577,-55.660475,1,68.54,7.64,79.0,3.3,95637670751.2,849171226.5,8.1,2560098945.0,95.3,3.6,3,4
F6281,148.525765,-59.34842,-3,95.55,10.39,47.3,4.8,75183506657.6,3995000424.7,26.06,4777024341.6,218.7,14.0,2,1
CamB7969,134.706256,-53.80105,6,52.15,14.86,62.1,7.8,132189721.2,9919480134.3,22.51,10790709.5,115.9,21.6,1,4
NGC5331,153.317551,12.711021,8,63.64,14.65,42.3,8.4,13103611571.8,692706805.2,26.63,34340967.5,138.8,29.6,3,14
UGC3303,234.695169,36.177817,-3,143.92,15.68,46.5,6.1,804071372.4,4670231401.7,6.87,5148877582.9,137.2,14.8,3,11
DDO3280,312.296627,-31.373662,2,113.04,11.44,48.6,4.5,51164349890.0,5318935693.3,16.17,445123823.1,229.2,4.6,2,7
IC3372,163.402878,41.929061,7,81.59,2.18,28.2,3.4,136566518.2,2367851507.3,23.49,28191535.7,166.6,17.7,1,10
ESO6521,89.222243,-53.132167,6,43.4,18.09,26.0,5.7,64212903245.6,241431633.7,7.75,40585542.7,140.3,5.5,2,16
F2603,85.198451,36.115662,8,134.65,17.32,63.4,3.8,32540725499.9,17517091.6,7.31,954901845.6,263.2,23.0,3,11
CamB1377,268.565141,51.335452,2,36.03,15.98,62.6,6.1,225171357.9,11153641.1,1.3,1494343596.0,193.0,16.2,3,2
NGC2707,293.964755,32.653008,1,49.48,2.09,63.1,7.1,151172575.4,270148089.1,28.78,628464029.6,103.5,22.3,2,1
UGC0230,37.900109,23.774494,6,136.45,4.17,21.3,1.6,31924418323.8,304049014.9,21.45,7235110022.9,275.0,26.3,1,10
DDO0893,23.961189,40.557626,-2,79.9,14.9,41.2,1.0,293273628.8,166758186.5,19.25,303522444.3,135.7,19.6,2,8
IC0765,213.996119,-55.181844,0,111.61,0.56,32.9,2.9,4024338087.1,506409744.4,22.45,79582162.6,59.7,19.1,3,17
ESO6183,52.622368,-35.786147,4,89.02,19.59,70.6,9.1,55877192035.2,453406884.3,16.18,270208327.9,173.7,23.1,3,12
F5792,296.879109,-45.009158,5,98.36,7.61,75.9,6.8,5038999794.5,3234738094.4,14.55,119949621.3,81.0,25.6,1,15
CamB5589,111.720483,0.543719,-2,45.61,14.41,36.0,2.5,1554890837.6,21182212.0,13.76,47124600.1,109.6,26.3,1,12
