galaxy,ra,dec,D,e_D,Inc,e_Inc,Vflat,e_Vflat,L36,e_L36,MHI,Re,Q,T
ESO7384,158.008126,4.252175,94.99,14.26,33.4,2.4,281.7,14.6,62854859359.1,2052672391.1,46462629.4,12.65,1,9
F5970,7.780349,41.827259,27.45,3.09,81.2,4.8,114.5,9.4,1494431243.4,418244343.9,210323546.1,12.4,1,-1
CamB2964,297.465093,18.310481,51.49,1.04,27.8,6.6,223.2,13.0,972271104.3,35353003.1,1693241599.1,27.74,3,-2
NGC7741,322.617878,36.527019,29.55,2.85,78.2,9.4,296.8,13.9,2254963416.9,91664749.7,51426412.7,7.75,2,3
UGC3316,50.489672,3.926673,4.7,18.38,26.5,9.8,87.6,26.6,5055949078.8,911120157.6,3084961371.6,22.03,2,3
DDO2640,199.453012,15.950116,139.19,0.28,37.2,1.6,72.1,9.6,2429146649.8,1043662752.4,433905202.4,22.76,2,5
IC7249,39.087267,-25.421326,67.78,3.85,75.0,2.2,218.5,27.0,9468043170.0,201501944.0,1911019222.5,3.38,1,2
ESO2995,242.006433,28.187179,46.82,0.72,31.7,8.1,134.9,13.9,4604654719.5,48521789.3,261618198.0,14.31,2,8
F0656,101.244162,-35.711449,90.17,2.3,46.9,3.4,67.8,11.2,916529905.4,1464604413.5,314472502.2,6.42,2,3
CamB3782,237.392148,23.375775,2.09,12.44,49.2,9.0,168.8,16.1,1089412658.5,32108434.0,723033081.1,5.97,3,-2
NGC6375,261.718061,43.286288,42.43,4.91,35.9,7.0,238.4,13.7,1367030998.6,6456677216.3,6080115431.9,14.18,2,-2
UGC1556,276.713097,-44.14766,105.75,11.43,66.2,2.0,121.3,9.2,192273443.7,36619358.9,298839323.3,9.04,3,9
DDO3730,38.786741,13.725569,95.43,11.84,75.3,8.5,133.8,16.1,314911048.0,20986358.6,385454051.0,23.98,3,-2
IC1082,329.764264,-48.58851,147.29,17.0,76.8,2.6,261.4,6.3,14768670679.1,311130872.7,639721417.1,27.27,1,9
ESO5507,82.877037,27.085875,93.43,0.19,42.1,4.8,180.0,11.9,1469907935.7,361950177.8,1631343481.3,24.18,2,0
F3831,13.46852,-49.860814,72.15,17.08,54.5,6.0,260.7,17.8,440166430.4,334640687.9,16426725.7,8.35,2,-2
CamB2675,199.746889,52.312779,114.45,12.42,36.1,5.5,161.6,13.6,4875478344.0,204174954.8,352421435.3,8.59,1,0
NGC1853,133.532022,-43.511048,135.6,3.34,35.9,7.2,288.2,25.1,18476454098.3,9648164032.6,278467661.4,8.01,1,4
UGC4537,298.724308,55.06563,108.38,15.48,30.5,6.9,212.7,9.2,591925550.9,287635071.0,5821768778.7,4.48,3,2
DDO5375,290.97053,36.106101,144.52,17.12,81.1,9.9,79.0,29.2,30225232188.5,271543706.8,302356800.7,28.34,2,7
IC7525,114.170001,11.241841,117.52,5.16,77.7,10.0,271.3,24.0,60605854502.6,184203631.6,254074806.8,12.36,1,4
ESO3525,343.043782,33.914893,130.15,18.38,70.5,5.6,172.3,29.1,6197029837.8,15866358.5,7701937066.1,7.13,1,2
F1327,104.730422,35.413781,18.0,9.14,53.6,1.9,85.4,25.5,10158813255.5,600993664.0,224765365.5,25.48,1,5
CamB6669,185.420567,53.523248,110.13,12.11,51.9,7.6,88.2,6.0,143789764.0,48295127.5,34886169.9,12.28,1,9
NGC5056,92.147433,-29.593998,66.57,19.69,54.4,9.8,221.9,16.7,68637218105.7,818138708.2,44745397.3,1.54,1,2
UGC5617,336.975685,10.809107,83.41,7.29,54.9,3.9,61.8,6.8,1504714835.3,14206934.8,19300235.8,5.28,3,-2
DDO0822,59.258814,-48.594096,98.46,16.28,48.2,5.2,121.6,24.9,59115477462.7,8793490601.7,10039322.1,19.36,3,2
IC2533,16.167823,13.939884,145.5,6.44,28.6,4.8,84.9,18.4,5456731368.4,255279086.5,197622770.3,23.6,2,7
ESO6154,156.634942,-39.445044,147.7,16.0,28.2,1.5,160.3,9.4,103241997.0,4900790242.4,2031083340.1,6.72,2,-1
F6666,357.255203,7.794073,43.95,12.05,81.9,7.1,153.6,28.0,130504653.5,267105923.7,1586351152.3,27.56,3,9
CamB3509,321.003816,8.691662,110.33,4.41,51.3,4.2,180.5,5.2,10996549082.3,15170240.1,12486688.1,25.6,3,4
NGC6447,269.498887,-4.081782,112.75,8.34,82.0,8.1,119.9,17.8,4875330270.1,2928469048.7,512800819.8,25.53,1,4
UGC6741,320.685297,2.715813,52.63,6.42,30.6,8.5,58.0,22.2,120115018.3,880138844.9,29030156.4,7.22,3,1
DDO3130,321.64079,31.670807,19.46,1.65,56.0,8.4,203.6,3.6,16997297806.3,2214476840.6,6656238185.9,1.99,1,8
IC7189,186.78901,35.909366,7.1,0.69,33.5,4.7,143.4,18.7,36011068790.7,192534956.2,31775690.7,26.09,1,-3
ESO2342,113.734459,-0.941614,116.82,6.99,36.5,3.9,212.8,24.8,3084980671.1,819993165.7,758433754.2,9.52,2,0
F1954,277.924476,11.951213,73.97,0.48,22.0,7.7,77.2,3.9,2496159434.2,3704136747.6,95217129.9,18.76,3,2
CamB5475,238.198055,51.748348,147.85,3.39,27.7,8.2,53.4,16.3,103853067.0,781981229.7,840783108.2,22.92,1,3
NGC5112,134.516782,-45.631969,70.28,14.53,79.6,5.4,112.1,9.2,22905993728.7,110413176.5,172494713.4,4.28,1,3
UGC1161,34.008001,-45.947572,146.71,14.19,40.9,9.0,164.1,20.6,982083015.4,971826602.4,1900768197.1,23.53,1,-2
DDO6670,268.84426,-49.474919,62.32,14.8,59.5,2.3,148.5,5.3,43280359485.1,1036483912.8,49208188.3,28.19,2,-1
IC1639,94.485786,18.943594,119.26,6.41,50.2,8.9,252.6,28.2,1315775400.6,7616595424.6,5216456122.7,21.99,3,-2
ESO6448,337.252734,-9.767004,13.64,17.81,46.0,1.9,144.5,27.1,4957169077.0,129639385.8,316686060.8,13.52,1,4
F0108,86.749407,32.91857,83.76,11.92,54.6,2.4,182.6,7.2,647180412.7,188471333.1,1854724646.6,26.36,1,1
CamB6384,44.192856,20.54777,120.51,2.61,32.2,5.8,198.4,11.1,303224953.2,2731296722.5,3541527139.2,16.06,1,4
NGC6306,299.200562,-19.963469,138.78,2.96,84.3,1.6,55.5,18.5,21121449060.7,329068979.4,9919409805.7,22.47,1,4
UGC6253,55.182354,47.803986,123.56,13.89,73.2,1.5,178.8,22.1,3088669478.7,1620762125.3,46971777.7,24.7,1,6
DDO5335,64.536591,31.503858,6.51,3.54,68.2,1.0,136.2,14.4,4068775907.6,239402341.3,72556653.0,22.61,2,4
IC3798,215.777805,-27.535807,56.53,10.2,50.5,4.9,155.3,6.4,78749510048.7,44308334.5,56402617.7,8.99,2,5
ESO5656,314.842335,-16.296958,8.26,19.84,29.9,8.0,75.1,4.9,77757043016.6,1720329071.0,61463034.3,3.98,2,4
F2253,70.71648,-22.267202,17.28,0.18,79.8,1.3,245.7,30.0,36891504349.8,24743749.3,558900148.0,7.53,3,5
CamB6256,111.716522,-41.086602,101.62,0.43,42.2,6.9,285.6,14.7,365449926.0,39423119.9,9562414596.8,15.33,2,5
NGC4467,279.865742,-42.265995,107.28,19.86,23.3,8.4,55.6,26.4,6064822333.4,759407616.1,9350487657.2,15.41,1,1
UGC3698,349.857513,52.335296,116.28,11.73,42.3,2.5,200.3,15.5,43096527068.0,1745056129.6,380469365.5,17.69,2,0
DDO4069,180.266827,-7.451516,129.95,2.63,71.6,2.3,241.0,27.8,1328592539.3,4831296159.0,826193227.8,12.16,1,7
IC4571,51.803101,-14.001621,111.18,17.96,60.5,8.7,121.2,4.5,201056675.8,65729373.4,3801120444.3,23.71,3,1
ESO0346,5.017064,27.562285,120.33,17.62,68.8,8.4,246.9,5.2,27094972010.7,21486851.2,6292168951.2,27.44,1,4
F1161,82.676171,6.359168,8.3,10.77,71.6,5.9,208.1,28.0,2787986420.4,7381421042.7,40886683.3,7.78,1,-1
CamB2001,47.455998,52.336798,35.95,12.47,33.8,8.4,282.3,28.5,4933760243.4,29058237.2,385145818.2,22.23,3,2
NGC0960,243.957123,33.636179,93.66,5.54,80.0,1.8,295.3,10.8,88396056119.7,39174273.1,3151455390.6,20.5,2,3
UGC3544,43.859702,-2.475652,128.86,1.11,48.5,4.6,60.6,11.9,6631843842.3,74814944.9,81209386.6,15.93,1,5
DDO5363,182.278775,-14.836863,1.67,11.93,61.5,7.6,161.2,14.7,1883380879.3,387412886.1,208654198.3,6.06,3,3
IC5252,249.934477,58.395785,77.68,5.97,20.2,3.3,186.7,13.7,1288110450.0,4451195795.7,9054475637.6,23.96,1,1
ESO3795,209.201979,26.131228,101.92,13.31,84.6,7.8,86.7,7.3,1790019977.6,1912661289.3,9018620038.8,28.84,3,9
F6847,71.919235,54.143359,5.41,16.74,38.3,5.5,134.1,27.2,226567310.6,1331903197.5,5227817669.5,21.79,3,3
CamB4543,289.484829,-45.782571,60.8,0.46,24.0,7.8,296.9,9.1,24224324485.9,33538350.8,2485106667.0,27.58,2,7
NGC0679,257.546567,42.064042,134.45,11.95,49.8,5.2,54.1,21.7,32594969167.2,118317203.0,64178786.7,29.53,2,6
UGC6131,266.034241,16.448866,101.07,4.7,28.4,4.3,163.1,3.9,713167270.3,272404814.0,91738201.6,10.89,2,4
DDO4618,47.180791,-45.369399,36.41,17.49,29.9,3.0,260.7,3.1,815435951.9,27687124.9,438377770.5,19.33,2,8
IC5096,44.551369,10.59096,128.06,5.15,61.1,2.9,131.0,20.3,41976166032.8,66113341.3,481207207.6,14.48,1,-2
ESO4544,333.922518,22.331564,52.86,12.25,45.5,7.8,169.9,11.5,118007895.8,84139439.0,328479641.5,29.61,1,8
F4450,143.12815,-58.523678,128.15,11.12,79.9,2.1,294.5,20.4,3642271631.8,24089544.9,812850804.2,3.27,1,8
CamB0770,108.341529,-5.481845,45.54,7.98,40.7,1.8,168.7,4.6,2460521385.6,447423793.6,167868445.2,12.67,3,3
NGC4495,175.890256,39.047941,88.96,13.58,67.2,2.6,82.7,28.6,11759268553.8,1303420627.1,1768163706.5,26.33,1,6
UGC6369,238.631117,-24.556917,60.14,14.54,50.0,2.6,62.9,23.0,309154164.0,16210443.4,100149729.2,8.88,2,3
DDO2466,344.024373,-4.97423,41.95,11.38,62.9,8.4,286.4,26.5,10115613384.3,277567941.9,98181800.2,23.74,3,0
IC4842,103.120642,-6.922305,133.1,15.19,59.0,4.6,116.5,5.8,1349590534.5,2221434875.5,24081186.8,11.79,3,7
ESO0295,332.931035,-23.768713,28.95,19.67,50.7,9.9,176.0,11.0,7180328844.6,1753760914.5,36824480.6,29.41,1,0
F2812,8.949417,50.213027,13.64,8.44,81.8,2.2,72.7,12.3,131912220.1,2787528322.2,3560923442.8,26.56,1,1
CamB3521,199.871295,33.755284,51.95,10.34,42.3,6.9,155.9,17.0,2427624945.7,221167800.8,218196116.0,9.39,3,3
NGC7862,228.23104,-46.729391,107.93,0.35,31.5,5.0,282.5,10.3,3687675364.0,2895151187.5,48261782.7,23.22,1,7
UGC1755,38.123065,59.644159,121.31,15.94,64.1,4.5,175.6,3.7,439520573.3,52754463.9,1896807682.9,10.44,1,1
DDO2248,50.522255,45.504003,149.81,10.45,75.0,8.9,292.8,12.3,262343895.2,120901498.7,459138147.3,18.39,3,3
IC3297,150.881155,-25.930987,45.16,8.22,22.6,9.8,114.7,9.1,367640128.3,33811678.4,11573588.4,19.93,3,-3
ESO7941,347.843488,40.42759,61.78,1.97,49.2,8.9,176.1,12.8,1077514775.6,252611791.2,88937388.3,24.97,3,-2
F6834,214.575319,-47.229656,21.39,17.8,78.0,2.7,264.9,7.5,195177813.3,150030676.4,33962858.3,1.22,3,-3
CamB0325,335.88836,59.892568,86.66,7.96,68.7,3.0,162.1,9.3,69495932580.8,52817926.7,928150884.7,6.99,1,-3
NGC1909,289.56993,19.882168,149.64,13.68,84.5,6.9,119.9,19.6,1640522474.7,1800288584.6,66848724.0,21.5,1,8
UGC6582,168.257377,18.015002,105.43,3.07,54.5,3.6,263.9,12.9,26724451938.6,87405812.9,15661751.8,17.12,1,7
DDO0513,282.514842,-49.147113,89.69,19.23,62.9,7.6,147.5,11.7,83801418377.6,65828353.2,14615206.9,15.12,1,7
IC6852,6.421242,47.644008,59.46,3.65,39.7,6.1,182.7,16.9,174664980.6,24698523.6,556137133.3,2.13,3,-3
ESO2287,39.291839,-56.52006,137.38,4.07,81.6,6.0,294.1,23.6,9015885836.1,207235954.3,11619043.2,10.77,1,-2
F7345,298.594301,-31.100633,75.04,17.19,43.8,8.5,96.6,12.6,41136492630.1,81076293.6,3518652185.0,26.02,2,0
CamB2384,286.854152,-42.837375,21.02,18.26,68.0,7.4,125.4,18.5,7992880167.5,128179485.5,29254410.9,1.41,3,4
NGC3502,83.750667,33.212153,55.44,4.32,46.2,1.2,57.8,29.1,1936771403.3,51049534.7,660235703.0,12.19,3,1
UGC5312,191.077053,-36.215493,11.01,9.45,56.5,1.4,148.0,16.6,1964396143.8,1947450687.5,215806282.7,28.38,1,3
DDO1053,218.165695,49.276587,31.09,14.7,66.8,6.4,100.0,27.5,128143522.5,6166092593.7,213085826.7,2.0,2,-1
IC4478,312.386023,18.752285,3.63,17.58,53.1,5.4,220.0,24.2,4016079061.7,311742173.0,16420690.9,22.62,2,6
ESO4064,217.118577,-55.660475,68.54,7.64,79.0,3.3,95.3,3.6,95637670751.2,849171226.5,2560098945.0,8.1,3,1
F6281,148.525765,-59.34842,95.55,10.39,47.3,4.8,218.7,14.0,75183506657.6,3995000424.7,4777024341.6,26.06,2,-3
CamB7969,134.706256,-53.80105,52.15,14.86,62.1,7.8,115.9,21.6,132189721.2,9919480134.3,10790709.5,22.51,1,6
NGC5331,153.317551,12.711021,63.64,14.65,42.3,8.4,138.8,29.6,13103611571.8,692706805.2,34340967.5,26.63,3,8
UGC3303,234.695169,36.177817,143.92,15.68,46.5,6.1,137.2,14.8,804071372.4,4670231401.7,5148877582.9,6.87,3,-3
DDO3280,312.296627,-31.373662,113.04,11.44,48.6,4.5,229.2,4.6,51164349890.0,5318935693.3,445123823.1,16.17,2,2
IC3372,163.402878,41.929061,81.59,2.18,28.2,3.4,166.6,17.7,136566518.2,2367851507.3,28191535.7,23.49,1,7
ESO6521,89.222243,-53.132167,43.4,18.09,26.0,5.7,140.3,5.5,64212903245.6,241431633.7,40585542.7,7.75,2,6
F2603,85.198451,36.115662,134.65,17.32,63.4,3.8,263.2,23.0,32540725499.9,17517091.6,954901845.6,7.31,3,8
CamB1377,268.565141,51.335452,36.03,15.98,62.6,6.1,193.0,16.2,225171357.9,11153641.1,1494343596.0,1.3,3,2
NGC2707,293.964755,32.653008,49.48,2.09,63.1,7.1,103.5,22.3,151172575.4,270148089.1,628464029.6,28.78,2,1
UGC0230,37.900109,23.774494,136.45,4.17,21.3,1.6,275.0,26.3,31924418323.8,304049014.9,7235110022.9,21.45,1,6
DDO0893,23.961189,40.557626,79.9,14.9,41.2,1.0,135.7,19.6,293273628.8,166758186.5,303522444.3,19.25,2,-2
IC0765,213.996119,-55.181844,111.61,0.56,32.9,2.9,59.7,19.1,4024338087.1,506409744.4,79582162.6,22.45,3,0
ESO6183,52.622368,-35.786147,89.02,19.59,70.6,9.1,173.7,23.1,55877192035.2,453406884.3,270208327.9,16.18,3,4
F5792,296.879109,-45.009158,98.36,7.61,75.9,6.8,81.0,25.6,5038999794.5,3234738094.4,119949621.3,14.55,1,5
CamB5589,111.720483,0.543719,45.61,14.41,36.0,2.5,109.6,26.3,1554890837.6,21182212.0,47124600.1,13.76,1,-2
