galaxy,logMbar,grad_p,v_res,Rmax,logM_halo,env_proxy
UGC1040,10.092879797180826,0.48074665890590895,19.967308916917865,47.156591774020065,12.488285844648209,-1.7445859869741926
UGC1041,11.081695490144593,0.4465311760299441,29.138624660073297,15.843675875255814,12.390451264975486,0.9274384815581808
UGC1042,10.750662755005623,0.6653851089727862,4.1440943327599635,10.524106958516871,10.697922225899301,0.45442033821436295
UGC1043,9.780916603455102,-0.09848548450942361,-9.895381200318642,42.400070245620775,11.59230877179716,-1.110430684414478
UGC1044,11.080649503488003,-0.42329831204415375,-21.320462807313092,11.897794248102233,11.818047462100033,-0.47152480744994896
UGC1045,11.011910893742005,-0.07971821090639905,2.6771146234383583,13.067073867098259,12.603216861328033,0.2637172043565196
UGC1046,9.968695947575437,-1.6873344339580298,-8.12941095310326,31.972225618437957,11.809321472016176,0.05246679835624363
UGC1047,9.72082025982561,-1.4471124724230873,-4.153572601796853,44.355291837685904,11.237714707821041,-0.292171185803555
UGC1048,10.706238759937438,-1.3226996123544024,-6.12096799059808,13.839559957155796,11.122552130221548,-0.10348826806596086
UGC1049,9.349381209023274,-0.9972468276014818,-1.4079088641638526,18.964565280504267,11.27764625912053,-0.25197737820688537
