galaxy,logMbar,Mgas,Rmax,Vmax,slope_tail,delta_f3,env_proxy,env_proxy_formal,width_kpc,thickness_kpc,outer_fit_ok,n_tail_points
NGC5005,10.8294,5048566079.4418,10.8025,157.2488,0.011225,0.042739,4.3426,2.298844,8.6874,1.0465,True,15
NGC5033,10.8152,9216698300.6556,15.5949,148.4754,0.033098,0.009315,0.4297,-0.823774,10.2041,1.3162,True,15
NGC5055,10.8149,7113640942.4438,11.4211,142.051,0.01863,0.009376,5.0,2.823488,7.294,0.915,True,17
NGC5194,10.8013,11055807644.2659,8.6437,155.9227,0.048847,0.010814,0.8645,-0.476769,9.2899,1.3549,True,13
NGC5533,10.777,11221944183.5389,8.3002,120.2253,-0.008656,-0.034534,3.5299,1.650314,7.3288,0.6625,True,6
NGC5585,10.7655,10889689044.2467,13.5548,125.5316,0.067906,-0.005901,0.9588,-0.40157,7.5653,0.8744,True,11
NGC5907,10.6932,9324304548.1911,20.6122,116.6863,0.015217,-0.006101,1.6053,0.114414,9.2714,1.0039,True,10
NGC6503,10.6929,9592643902.3391,12.6226,122.5779,0.035484,0.015336,1.0499,-0.32886,4.2495,0.481,False,15
NGC6674,10.6654,4189134104.0712,11.1784,109.9655,-0.002578,0.039993,0.9644,-0.397066,5.0388,0.4452,True,10
NGC6946,10.6611,7435799236.1792,12.8025,131.9776,0.005088,-0.042341,1.3893,-0.057972,4.7699,0.4264,True,9
NGC7331,10.6311,7143644199.976,17.7157,119.6278,-0.024434,-0.005,1.6468,0.147502,3.6802,0.366,True,6
NGC7793,10.6104,5289826313.5093,11.9421,105.2178,0.038816,0.059258,1.3128,-0.118995,5.7182,0.5794,True,15
UGC02953,10.6089,7437776032.595,9.5922,109.6145,-0.035878,-0.029744,1.2154,-0.196783,8.4732,0.9317,True,14
UGC06614,10.5801,3136117004.8599,15.7748,121.6059,0.040058,-0.03289,0.6285,-0.665092,6.2206,0.7637,True,5
UGC06786,10.5542,3943242262.4048,12.1902,125.5202,0.000846,0.008092,1.0809,-0.304059,6.9618,0.8662,True,10
UGC12506,10.5372,5907241985.0451,17.5896,138.1321,0.022785,0.033775,3.2443,1.422394,8.7849,0.956,True,11
