galaxy,slope_tail,Rmax,Vmax,n_outer,outer_fit_ok,logMbar,Mgas
UGC10022,0.06270699397976152,30.4109,116.0746,11,True,10.64143399348784,4.916637140525944
UGC10023,0.20340573139222717,21.8667,314.5138,9,True,10.11697068052129,1.0237981459833854
UGC10024,-0.023337244303411754,36.9855,89.0417,11,True,9.403174412876153,1.1376836009849207
UGC10025,-0.010024308971674153,10.3021,194.4672,13,True,9.542583435340307,1.505772826460929
UGC10026,-0.11611682864493833,31.0098,264.9031,12,True,10.64312202349689,0.6037087111092723
UGC10027,0.16308260262680657,31.2203,248.6471,10,True,11.284125598627902,1.3636806448241916
UGC10028,0.18350433070143815,11.2372,202.9071,7,True,10.041740201973292,0.5444386538408462
UGC10029,0.050187844119597806,46.5199,226.171,13,True,9.773585117864112,0.3080439688576816
UGC10030,-0.18088589587367582,21.9968,245.2527,9,True,11.20004140334798,1.3412072434576543
UGC10031,0.043910334930487405,7.6348,217.5878,5,True,9.619553223735453,2.825332454309168
UGC10032,0.17079770821082219,33.2317,266.769,6,True,9.51367034107542,2.076040556358686
UGC10033,0.07464057041033709,16.6426,267.4964,13,True,9.96811849160076,4.666527409226982
UGC10034,0.08023656701587988,23.7063,237.4793,13,True,11.362062798769893,4.162837402694176
UGC10035,0.03696400810877513,7.1862,225.2891,11,True,9.99552829894286,3.3702447516841074
UGC10036,0.1817739548081164,6.1738,280.2709,13,True,10.931693580592345,4.2828882781220505
UGC10037,0.14936559353106132,30.9385,300.8343,13,True,11.259217390007528,0.5925578069418713
UGC10038,-0.3048567967354808,47.0913,113.7262,5,True,10.85357934658562,4.9913195574774845
UGC10039,0.23766179342018132,7.1867,170.4125,4,True,10.878153558983213,2.221691254332088
UGC10040,0.10127539206660986,13.5703,232.1175,7,True,9.739438965273264,3.403307074376359
UGC10041,0.08294744471777012,31.1227,341.9864,5,True,10.979086952065348,3.304136610043211
UGC10042,0.2492177949734919,43.4645,235.3599,4,True,9.888431232658247,4.312433476085737
UGC10043,0.10623435261061234,21.6918,188.7623,11,True,9.868784389366668,4.6947566194263
UGC10044,-0.006542807246530903,36.8561,320.1397,10,True,10.730306813635499,4.33396490663653
UGC10045,0.0476112353478026,16.7689,302.8197,9,True,9.771588205626283,1.678194970850577
UGC10046,0.03927937204627722,45.0429,254.22,11,True,9.806477922621756,1.8216134481173945
UGC10047,0.08587218234330588,36.8202,202.6393,11,True,11.236595391288551,4.402155316864252
UGC10048,0.002553837399767488,16.0803,238.4361,7,True,10.902361056451612,3.136601545951658
UGC10049,0.07662676405087085,18.3459,308.4344,14,True,9.979095662284987,0.905455757029774
UGC10050,-0.022095735759931404,15.2381,264.2401,7,True,9.902025743324668,2.472646219972316
UGC10051,0.0892271931389716,18.1252,263.3111,12,True,9.898388903965444,3.093040297283252
UGC10053,0.16200013829278184,41.401,135.8897,14,True,10.490170783281373,4.705373237215192
UGC10054,-0.07832100427474947,40.2177,147.8184,10,True,10.413037492540443,2.12733739242972
UGC10055,0.07883698329103335,17.3374,187.5427,10,True,10.147299265344262,2.4251974370206653
UGC10056,-0.09404256765861396,21.0811,221.1624,6,True,9.617668125121336,0.542758495836948
UGC10057,0.44539442490534137,12.0734,147.1355,4,True,11.221228607656945,4.002686576589359
UGC10058,0.19984924452380345,33.0912,161.0014,10,True,10.362722076023749,0.4589053322210019
UGC10059,-0.01422544703808317,9.5105,123.7834,15,True,10.444552093139949,1.3195106679246071
UGC10060,-0.05288624061078847,29.017,123.3658,17,True,11.16890591800523,1.4873618742988046
UGC10061,0.35646100921277574,35.802,113.0319,11,True,9.283656149788992,1.0876033161545215
UGC10062,0.08896852493299558,36.448,258.0932,10,True,10.141768649040962,1.66851335284408
UGC10063,0.1150454976081816,24.0259,299.1541,7,True,9.591893468375707,0.983526085376368
UGC10064,0.4491818834212652,28.8902,216.5477,5,True,10.449861675355123,0.2984448644735018
UGC10065,0.1126194197305573,34.3234,210.9859,7,True,10.028825655535032,3.889558511878572
UGC10066,0.02497891881577645,29.7967,258.0677,6,True,11.450783788188296,3.392877039267976
UGC10067,0.4824856527525294,27.3909,113.7859,12,True,10.03072919098648,4.073403886436405
UGC10068,0.045226714973467315,17.2639,189.7092,9,True,10.37077599334229,2.109145597180529
UGC10069,0.041717191909301704,45.7409,205.7302,9,True,10.229621338666794,2.8066854676290625
UGC10070,0.1432321519466868,31.7693,289.7274,9,True,10.355528001890145,1.7674731539659891
UGC10071,-0.14837293964498818,43.0334,142.4085,6,True,10.710591383776588,3.195175089341686
UGC10072,-0.16082150859921812,7.2859,93.6251,8,True,10.026443742703506,1.8306203656327085
UGC10073,0.02736568153856195,13.6477,128.4851,13,True,11.305349816406153,2.1266553874351435
UGC10074,0.06213302360182849,46.9385,207.7409,12,True,9.669291956336673,0.1157176843574016
UGC10075,0.10378576804676626,7.259,340.1361,8,True,9.648655877859426,1.380361185018404
UGC10076,-0.06293358261662463,27.5403,229.0083,17,True,9.46537996906278,0.8880491753086417
UGC10077,0.09956445976021225,37.9946,128.8558,17,True,9.412785718334293,1.2098773514627603
UGC10078,0.33838184748735767,38.3001,133.442,16,True,9.335703492367726,1.3490144286325956
UGC10080,0.33263048920669375,43.7688,257.9428,5,True,9.81184277195708,4.496689970912198
UGC10081,0.14108915976233163,24.8364,221.9304,14,True,10.781946755863189,1.913243826614936
UGC10082,-0.010762624858322325,12.5865,271.6391,12,True,9.873355453877112,4.774493093108712
UGC10083,0.1083904104818204,45.2452,262.6426,8,True,10.72156050872547,3.5557962945444785
UGC10084,-0.010736365553231066,32.9987,319.6154,10,True,9.937196100930128,4.148688284124959
UGC10086,0.18775572189060732,17.4575,312.8024,7,True,10.020500930701234,2.3440089498142864
UGC10087,0.043794776726975106,24.2497,343.6174,7,True,9.254263168463414,0.672279956089256
UGC10088,-0.06258667606730675,21.517,314.9171,5,True,10.420230032134791,1.852885209537101
UGC10090,0.03820325734613083,5.0308,85.4208,7,True,9.654647488343127,2.481250568462246
UGC10091,-0.11791265667969258,23.4623,137.0368,5,True,10.882081113907608,0.9184872164623034
UGC10092,0.27605257083232454,44.5031,209.9783,8,True,10.935859543375415,3.257430288074586
UGC10093,0.10371661907534786,46.3915,206.929,16,True,10.81382993290481,3.986672033615068
UGC10094,-0.09731477504763276,40.0544,125.6512,4,True,11.259730827345466,3.0358150451797674
UGC10095,0.03513725575887841,25.3592,337.341,15,True,11.14863518654648,3.8876774359967534
UGC10096,-0.0025166168611305737,7.0956,161.8996,12,True,11.501859757275174,1.810504776700364
UGC10097,0.014488924337849245,16.7862,301.1704,12,True,11.16915786533584,2.8339696151746523
UGC10098,0.021720620868520765,7.493,198.2248,8,True,9.325939116720004,0.3154611742924319
UGC10099,0.09985699544912521,44.8994,165.7353,7,True,9.985695678248147,0.2636720690105338
